condition,mean_auc_gain,std_auc_gain,positive_seeds,mean_eer_change
cross_same_same,0.0076572604350383005,0.0003446024129246051,3,-0.021693121693121698
cross_same_variable,0.0064594356261022945,0.0009812263264668021,3,-0.0005291005291005088
cross_variable_same,0.005173427395649595,0.0013432301661417112,3,0.0026455026455026545
cross_variable_variable,0.00409318048206934,0.0022755694474457973,3,0.008465608465608454
