seed,positive_auc_conditions,mean_auc_gain,minimum_auc_gain,maximum_auc_gain,improved_eer_conditions,mean_eer_change
42,4,0.005180776014109351,0.0036155202821869237,0.007341269841269926,2,-0.009325396825396834
123,4,0.006696428571428631,0.0057760141093474715,0.00802469135802486,2,-0.004761904761904759
2026,4,0.005660273368606666,0.002094356261022834,0.007605820105820116,1,0.005753968253968268
