condition,control_auc,control_eer,wgc_auc,wgc_eer,auc_change,eer_change
cross_variable_variable,0.7854717813051146,0.3047619047619048,0.7890873015873016,0.29523809523809524,0.0036155202821869237,-0.009523809523809545
cross_variable_same,0.7346340388007055,0.33333333333333337,0.7383818342151676,0.33333333333333337,0.0037477954144620185,0.0
cross_same_variable,0.771957671957672,0.3055555555555556,0.7779761904761905,0.3055555555555556,0.006018518518518534,0.0
cross_same_same,0.8182760141093474,0.25,0.8256172839506173,0.2222222222222222,0.007341269841269926,-0.02777777777777779
