seed,candidate,epoch,beta,batches,writers_seen,mean_total_loss,mean_base_loss,mean_arabic_metric_loss,mean_cross_script_metric_loss,mean_wgc_loss,mean_preclip_gradient_norm
42,matched_control,1,0.0,18,145,0.41123679445849526,0.41123679445849526,0.19204674661159515,0.21919004867474237,0.01379792141314182,0.9567538268036313
42,matched_control,2,0.0,18,145,0.3850771685441335,0.3850771685441335,0.1745201237499714,0.2105570418967141,0.01728525266258253,0.9859647651513418
42,matched_control,3,0.0,18,145,0.3628204067548116,0.3628204067548116,0.16237276875310475,0.20044763551818,0.02164724122525917,1.0446386304166582
42,matched_control,4,0.0,18,145,0.35676656828986275,0.35676656828986275,0.15949084940883848,0.19727572053670883,0.022387985709226794,1.210229068994522
42,matched_control,5,0.0,18,145,0.34561258885595536,0.34561258885595536,0.1513839430279202,0.19422864500019285,0.02414355520159006,1.108861459626092
42,matched_control,6,0.0,18,145,0.3304048909081353,0.3304048909081353,0.14423023412624994,0.1861746542983585,0.030291714188125398,1.2592116296291351
42,matched_control,7,0.0,18,145,0.3166585514942805,0.3166585514942805,0.1356949702733093,0.18096358163489235,0.031875641706089176,1.1833010282781389
42,matched_control,8,0.0,18,145,0.31548982196384007,0.31548982196384007,0.13624860925806892,0.1792412143614557,0.02923455208333002,1.3475428521633148
42,matched_control,9,0.0,18,145,0.30497337215476567,0.30497337215476567,0.13037358431352508,0.17459978659947714,0.03225343720987439,1.336071855492062
42,wgc,1,0.5,18,145,0.41799647940529716,0.41152431401941514,0.19270230912499958,0.21882200572225782,0.012944323321183523,0.9251511593659719
42,wgc,2,0.5,18,145,0.3927837957938512,0.3852672659688526,0.17533565229839748,0.20993161615398195,0.015033053001388907,0.9454513457086351
42,wgc,3,0.5,18,145,0.3729918615685569,0.364150721165869,0.1642756470375591,0.19987507412830988,0.017682279718832836,1.0176953739590116
42,wgc,4,0.5,18,145,0.3673584676451153,0.3587270710203383,0.16230443823668692,0.19642263733678395,0.017262791231688526,1.1981033285458882
42,wgc,5,0.5,18,145,0.35640298657947117,0.34717648062441087,0.15383312685622108,0.19334335294034746,0.018453010694227286,1.087333963976966
42,wgc,6,0.5,18,145,0.34295676317479873,0.33125556343131596,0.14636796878443825,0.1848875963025623,0.023402399849146605,1.2346425354480743
42,wgc,7,0.5,18,145,0.32995422350035775,0.3180852085351944,0.13839071699314648,0.1796944903002845,0.023738029619885817,1.1847897635565863
42,wgc,8,0.5,18,145,0.32814370923572117,0.31723348299662274,0.13907402464085156,0.1781594587696923,0.021820455220424466,1.3413431843121846
42,wgc,9,0.5,18,145,0.31816420290205216,0.30666780802938676,0.13352627803881964,0.17314153081840938,0.022992796678509977,1.3427523738808103
123,matched_control,1,0.0,18,145,0.40715132653713226,0.40715132653713226,0.1897107031610277,0.21744062254826227,0.014851586453409659,0.9251023133595785
123,matched_control,2,0.0,18,145,0.3876833915710449,0.3876833915710449,0.17660285035769144,0.21108054204119575,0.016765367653634813,0.9766605297724406
123,matched_control,3,0.0,18,145,0.36159463557932114,0.36159463557932114,0.16070936040745842,0.20088527765538958,0.022426679006053343,1.0594125390052795
123,matched_control,4,0.0,18,145,0.3515348616573546,0.3515348616573546,0.15598331143458685,0.1955515502227677,0.02160810604174104,1.0818569527732
123,matched_control,5,0.0,18,145,0.3417531798283259,0.3417531798283259,0.15008599807818732,0.1916671817501386,0.026838065590709448,1.1464064121246338
123,matched_control,6,0.0,18,145,0.32158570488293964,0.32158570488293964,0.13862216803762648,0.18296353767315546,0.028850921326213412,1.2610144515832264
123,matched_control,7,0.0,18,145,0.32163888216018677,0.32163888216018677,0.13894847283760706,0.1826904093225797,0.028856790210637782,1.3025913933912914
123,matched_control,8,0.0,18,145,0.3093010154035356,0.3093010154035356,0.13167264395289952,0.17762836979495156,0.0342513168644574,1.3197636869218614
123,matched_control,9,0.0,18,145,0.30108798460827935,0.30108798460827935,0.12727354342738786,0.1738144407669703,0.03556315383563439,1.2736238174968295
123,wgc,1,0.5,18,145,0.41446612940894234,0.4074646664990319,0.1901875560482343,0.21727710713942847,0.014002935210656788,0.9010736578040652
123,wgc,2,0.5,18,145,0.3960196210278405,0.38869394693109727,0.17798057281308705,0.2107133741180102,0.014651351349635256,0.9470277362399631
123,wgc,3,0.5,18,145,0.37223002811272937,0.3628952768113878,0.1624191494451629,0.20047612653838265,0.01866950115395917,1.0329438050587971
123,wgc,4,0.5,18,145,0.36198246147897506,0.35360297560691833,0.1586074870493677,0.1949954918689198,0.0167589761937658,1.0547693504227533
123,wgc,5,0.5,18,145,0.3544031133254369,0.34399448169602287,0.15291725595792136,0.19107722573810154,0.02081726310360763,1.1302686267428927
123,wgc,6,0.5,18,145,0.334488645195961,0.32380158868100906,0.14165076282289293,0.18215082668595844,0.02137411929046114,1.2771459718545277
123,wgc,7,0.5,18,145,0.3344481223159366,0.32374610669083065,0.14186248431603113,0.18188361989127266,0.021404026748819485,1.2554872433344524
123,wgc,8,0.5,18,145,0.32380563020706177,0.3117402411169476,0.13503379871447882,0.1767064415746265,0.024130782319439784,1.2893552780151367
123,wgc,9,0.5,18,145,0.31570400132073295,0.302813315557109,0.1301264593170749,0.17268685748179755,0.025781379236529272,1.3760827481746674
2026,matched_control,1,0.0,18,145,0.411664937933286,0.411664937933286,0.19326060016949972,0.21840433776378632,0.011411242238763306,0.9680409828821818
2026,matched_control,2,0.0,18,145,0.3866596619288127,0.3866596619288127,0.17740749071041742,0.20925217287407982,0.015595763766517242,1.019365777571996
2026,matched_control,3,0.0,18,145,0.36248675651020473,0.36248675651020473,0.16234347141451305,0.20014328592353398,0.019593975868903928,1.0834223197566137
2026,matched_control,4,0.0,18,145,0.3513545228375329,0.3513545228375329,0.15509229650100073,0.19626223378711277,0.024911624896857474,1.1236082911491394
2026,matched_control,5,0.0,18,145,0.3356316006845898,0.3356316006845898,0.14668179634544584,0.18894980433914396,0.02691035417632924,1.176832954088847
2026,matched_control,6,0.0,18,145,0.3307293504476547,0.3307293504476547,0.14389630572663414,0.1868330438931783,0.029031104201243982,1.4208393328719668
2026,matched_control,7,0.0,18,145,0.32204144696394604,0.32204144696394604,0.13840464957886273,0.18363679945468903,0.03241648111078474,1.3141140441099803
2026,matched_control,8,0.0,18,145,0.30791090097692275,0.30791090097692275,0.13095895697673163,0.17695194648371804,0.033176697894103,1.3919732140170202
2026,matched_control,9,0.0,18,145,0.3056666726867358,0.3056666726867358,0.1311899609863758,0.17447671211428112,0.028529667605956394,1.4185614453421698
