seed,control_mse,control_rmse,control_mae,wgc_mse,wgc_rmse,wgc_mae,mse_change,mse_reduction_fraction,rmse_change,mae_change
42,0.033828914165496826,0.18392638862133026,0.14842422306537628,0.02999279648065567,0.17318429052829742,0.13876459002494812,-0.003836117684841156,0.11339760023257658,-0.010742098093032837,-0.009659633040428162
123,0.033113718032836914,0.1819717437028885,0.14656178653240204,0.029290154576301575,0.17114366590976715,0.13772641122341156,-0.0038235634565353394,0.1154676576258739,-0.010828077793121338,-0.008835375308990479
2026,0.034860823303461075,0.18671053647994995,0.15078769624233246,0.0315861776471138,0.17772500216960907,0.14311446249485016,-0.0032746456563472748,0.09393483417880608,-0.008985534310340881,-0.0076732337474823
