candidate,epoch,beta,mean_total_loss,mean_base_loss,mean_arabic_metric_loss,mean_cross_script_metric_loss,mean_wgc_loss,mean_preclip_gradient_norm,selection_cross_macro_auc,selection_pooled_auc,selection_pooled_eer,is_best
wgc,1,0.5,0.41799647940529716,0.41152431401941514,0.19270230912499958,0.21882200572225782,0.012944323321183523,0.9251511593659719,0.7261105599647266,0.7231887951940035,0.3396825396825397,True
wgc,2,0.5,0.3927837957938512,0.3852672659688526,0.17533565229839748,0.20993161615398195,0.015033053001388907,0.9454513457086351,0.7441137566137567,0.7434909611992945,0.3117063492063492,True
wgc,3,0.5,0.3729918615685569,0.364150721165869,0.1642756470375591,0.19987507412830988,0.017682279718832836,1.0176953739590116,0.7560846560846561,0.7565489969135802,0.3055555555555556,True
wgc,4,0.5,0.3673584676451153,0.3587270710203383,0.16230443823668692,0.19642263733678395,0.017262791231688526,1.1981033285458882,0.7647486772486773,0.7650862544091711,0.2984126984126984,True
wgc,5,0.5,0.35640298657947117,0.34717648062441087,0.15383312685622108,0.19334335294034746,0.018453010694227286,1.087333963976966,0.7715663580246914,0.7714781746031746,0.2851190476190476,True
wgc,6,0.5,0.34295676317479873,0.33125556343131596,0.14636796878443825,0.1848875963025623,0.023402399849146605,1.2346425354480743,0.774509479717813,0.7746100639329805,0.29861111111111116,True
wgc,7,0.5,0.32995422350035775,0.3180852085351944,0.13839071699314648,0.1796944903002845,0.023738029619885817,1.1847897635565863,0.7759424603174603,0.7759617504409171,0.2865079365079365,True
wgc,8,0.5,0.32814370923572117,0.31723348299662274,0.13907402464085156,0.1781594587696923,0.021820455220424466,1.3413431843121846,0.7759038800705468,0.776161541005291,0.3055555555555556,False
wgc,9,0.5,0.31816420290205216,0.30666780802938676,0.13352627803881964,0.17314153081840938,0.022992796678509977,1.3427523738808103,0.7827656525573192,0.7828731261022929,0.2998015873015873,True
wgc,10,0.5,0.3053770487507184,0.2923840060830116,0.12459665329919921,0.16778734823067984,0.02598608440409104,1.358704560332828,0.7812003968253969,0.7814008763227513,0.3055555555555556,False
