epoch,batch,batch_size,base_loss,arabic_metric_loss,cross_metric_loss,ctmd_loss,scaled_ctmd_loss,total_loss,confirmed_margins,possible_margins,active_conditions,gradient_norm_before_clip,gradient_clipping_activated,frozen_gradients_present,backbone_training_flag,layer4_training_flag
9,1,8,0.2964221239089966,0.12122929096221924,0.17519283294677734,0.1376204788684845,0.03154340758919716,0.32796552777290344,64,64,4,1.425179362297058,False,False,False,False
9,2,8,0.3277103006839752,0.15309345722198486,0.17461684346199036,0.10859863460063934,0.024891434237360954,0.3526017367839813,64,64,4,1.9240652322769165,False,False,False,False
9,3,8,0.2928779125213623,0.1353776603937149,0.1575002372264862,0.1012166291475296,0.02319943532347679,0.3160773515701294,64,64,4,1.3902074098587036,False,False,False,False
9,4,8,0.28420698642730713,0.12170334160327911,0.1625036597251892,0.09575685858726501,0.02194802463054657,0.3061550259590149,64,64,4,1.4349466562271118,False,False,False,False
9,5,8,0.2817188501358032,0.1062513142824173,0.17546755075454712,0.17151707410812378,0.0393127016723156,0.3210315406322479,64,64,4,1.1262644529342651,False,False,False,False
9,6,8,0.31685322523117065,0.13582368195056915,0.1810295283794403,0.21501833200454712,0.04928344115614891,0.36613667011260986,64,64,4,1.9269564151763916,False,False,False,False
9,7,8,0.3609985411167145,0.17250627279281616,0.18849226832389832,0.12150957435369492,0.027850694954395294,0.3888492286205292,64,64,4,1.2276675701141357,False,False,False,False
9,8,8,0.29519665241241455,0.12689290940761566,0.16830375790596008,0.10205782204866409,0.023392241448163986,0.31858888268470764,64,64,4,1.2932411432266235,False,False,False,False
9,9,8,0.27780506014823914,0.13469839096069336,0.14310666918754578,0.07874239981174469,0.018048211932182312,0.29585325717926025,64,64,4,1.6445571184158325,False,False,False,False
9,10,8,0.2743947505950928,0.11061924695968628,0.1637755036354065,0.14733600616455078,0.03377026319503784,0.3081650137901306,64,64,4,1.3071728944778442,False,False,False,False
9,11,8,0.3241655230522156,0.15432164072990417,0.1698438972234726,0.13486185669898987,0.030911115929484367,0.3550766408443451,64,64,4,1.4062793254852295,False,False,False,False
9,12,8,0.31783610582351685,0.14201772212982178,0.17581836879253387,0.14650657773017883,0.03358015418052673,0.3514162600040436,63,64,4,1.2908449172973633,False,False,False,False
9,13,8,0.282532662153244,0.11692528426647186,0.16560737788677216,0.11695164442062378,0.026805991306900978,0.30933865904808044,64,64,4,1.7470229864120483,False,False,False,False
9,14,8,0.3240699768066406,0.12761694192886353,0.1964530348777771,0.09092850983142853,0.020841339603066444,0.3449113070964813,64,64,4,1.5402777194976807,False,False,False,False
9,15,8,0.2556176781654358,0.10325133800506592,0.15236632525920868,0.13149818778038025,0.030140142887830734,0.28575780987739563,64,64,4,1.8720916509628296,False,False,False,False
9,16,8,0.33453378081321716,0.14643803238868713,0.18809574842453003,0.13245581090450287,0.03035963699221611,0.3648934066295624,64,64,4,1.6589062213897705,False,False,False,False
9,17,8,0.3581005334854126,0.15005744993686676,0.20804309844970703,0.11471100151538849,0.02629242278635502,0.38439294695854187,64,64,4,1.5140984058380127,False,False,False,False
9,18,9,0.2907262146472931,0.11428600549697876,0.17644020915031433,0.10554228723049164,0.02419090084731579,0.31491711735725403,72,72,4,1.136007308959961,False,False,False,False
