training_seed,epoch,gamma,train_base_loss,train_arabic_metric_loss,train_cross_metric_loss,train_ctmd_loss,train_scaled_ctmd_loss,train_total_loss,train_gradient_norm,train_confirmed_margins,train_possible_margins,selection_cross_macro_auc,selection_pooled_auc,selection_pooled_eer,selection_cross_macro_eer,checkpoint_selected,cross_same_same_auc,cross_same_same_eer,cross_same_variable_auc,cross_same_variable_eer,cross_variable_same_auc,cross_variable_same_eer,cross_variable_variable_auc,cross_variable_variable_eer
42,1,0.22920577093772979,0.4113542222314411,0.19215557393100527,0.21919864664475122,0.1585208127895991,0.03633388556126091,0.44768811100059086,1.0482506453990936,1160,1160,0.724702380952381,0.7217923280423281,0.3402777777777778,0.3271825396825397,True,0.7636022927689594,0.2777777777777778,0.6832231040564374,0.36111111111111116,0.6832451499118166,0.35555555555555557,0.7687389770723104,0.3142857142857143
42,2,0.22920577093772979,0.3853463629881541,0.17499716497129864,0.21034919967254004,0.16078943966163528,0.036853867686457105,0.42220022943284774,1.0970615181658003,1160,1160,0.7428295855379188,0.7427221119929454,0.30873015873015874,0.2926587301587302,True,0.7825396825396825,0.25,0.7147266313932981,0.3055555555555556,0.6943783068783068,0.33333333333333337,0.7796737213403879,0.28174603174603174
42,3,0.22920577093772979,0.36335237324237823,0.16326105346282324,0.20009131895171273,0.14703551679849625,0.03370138920015759,0.3970537649260627,1.1534016993310716,1158,1160,0.7527888007054674,0.7536637455908289,0.29861111111111116,0.2974206349206349,True,0.7932098765432098,0.2753968253968254,0.7338403880070546,0.31666666666666665,0.699647266313933,0.33333333333333337,0.7844576719576719,0.2642857142857143
42,4,0.22920577093772979,0.3573339349693722,0.16061233977476755,0.1967215927110778,0.1408545950220691,0.03228468613492118,0.3896186202764511,1.3461872935295105,1158,1160,0.760515873015873,0.7609912367724868,0.29861111111111116,0.29027777777777775,True,0.8017636684303351,0.25476190476190474,0.7453924162257495,0.31587301587301586,0.7056878306878307,0.3111111111111111,0.7892195767195767,0.27936507936507937
42,5,0.22920577093772979,0.3459294123782052,0.15246073487732145,0.19346868081225288,0.13485872828298145,0.03091039875936177,0.37683981160322827,1.2571546104219224,1159,1160,0.7666225749559084,0.7665757275132276,0.3055555555555556,0.3031746031746032,True,0.8050705467372135,0.28095238095238095,0.7518077601410935,0.29285714285714287,0.7158730158730159,0.33333333333333337,0.7937389770723103,0.3055555555555556
42,6,0.22920577093772979,0.33072566158241695,0.1453865687880251,0.1853390923804707,0.14053152667151558,0.03221063698745436,0.36293630136383903,1.3865922954347398,1159,1160,0.7682374338624338,0.7692260526895944,0.29861111111111116,0.2900793650793651,True,0.8087301587301587,0.25,0.7602072310405644,0.29523809523809524,0.7191358024691358,0.32301587301587303,0.7848765432098765,0.2920634920634921
42,7,0.22920577093772979,0.31705405314763385,0.13696165134509405,0.18009240263038212,0.13049116854866347,0.02990932876451148,0.34696338408523136,1.3284935355186462,1159,1160,0.7720734126984127,0.7725859788359789,0.2847222222222222,0.28789682539682543,True,0.8134920634920635,0.25952380952380955,0.7651675485008819,0.28095238095238095,0.7226851851851852,0.33333333333333337,0.7869488536155202,0.2777777777777778
42,8,0.22920577093772979,0.31588295433256364,0.13759086074100602,0.17829209400547874,0.13313351199030876,0.03051496959394879,0.3463979247543547,1.5133559571372137,1158,1160,0.7720513668430335,0.7723283179012346,0.2992063492063492,0.2976190476190476,False,0.8165564373897707,0.25476190476190474,0.7648809523809523,0.3055555555555556,0.728858024691358,0.3246031746031746,0.7779100529100529,0.3055555555555556
42,9,0.22920577093772979,0.3053203821182251,0.131839443412092,0.1734809395339754,0.12515720476706824,0.028686753370695643,0.3340071323845122,1.4925437106026544,1159,1160,0.7790068342151676,0.7791136188271606,0.30376984126984125,0.2920634920634921,True,0.8199514991181658,0.25,0.7734347442680776,0.2912698412698413,0.7362654320987655,0.32857142857142857,0.7863756613756614,0.2984126984126984
42,10,0.22920577093772979,0.2909050128526158,0.12294508475396368,0.16795992685688865,0.12158951742781533,0.027869019243452284,0.3187740345795949,1.523597412639194,1157,1160,0.7767195767195767,0.777233520723104,0.30674603174603177,0.3013888888888889,False,0.8213403880070547,0.2515873015873016,0.7728174603174605,0.3055555555555556,0.7356261022927689,0.3341269841269841,0.777094356261023,0.3142857142857143
