condition,possible_margins,confirmed_margins,confirmation_rate,all_margin_mean,all_margin_median,confirmed_margin_mean,confirmed_margin_median,confirmed_margin_p05,confirmed_margin_p95,zero_confirmed_condition_batches,minimum_batch_confirmation_rate,maximum_batch_confirmation_rate
cross_variable_variable,2900,2898,0.9993103448275862,0.4279768447475187,0.4199060946702957,0.4282907054465832,0.42007915675640106,0.1860417142510414,0.6919003486633301,0,0.9375,1.0
cross_variable_same,2900,2894,0.9979310344827587,0.4056047716479877,0.39651620388031006,0.4065470273484834,0.39657367765903473,0.1882055476307869,0.6558213979005812,0,0.9375,1.0
cross_same_variable,2900,2895,0.9982758620689656,0.4192498904518012,0.3973378390073776,0.42010495178851853,0.3974250853061676,0.19035457074642181,0.7162622153759003,0,0.875,1.0
cross_same_same,2900,2900,1.0,0.40400756124792425,0.3896779268980026,0.40400756124792425,0.3896779268980026,0.1871140629053116,0.6745432943105697,0,1.0,1.0
