epoch,batch,condition,direction,anchor_writer,impostor_writer,positive_similarity,hard_negative_similarity,teacher_margin,confirmed
1,1,cross_variable_variable,left_to_right,133,172,0.5072617530822754,0.07985074073076248,0.4274110198020935,True
1,1,cross_variable_variable,right_to_left,133,94,0.5072617530822754,0.053957484662532806,0.453304260969162,True
1,1,cross_variable_variable,left_to_right,39,138,0.4923608899116516,0.14846166968345642,0.3438992202281952,True
1,1,cross_variable_variable,right_to_left,39,172,0.4923608899116516,0.20253005623817444,0.2898308336734772,True
1,1,cross_variable_variable,left_to_right,273,138,0.5046619772911072,0.17669449746608734,0.32796746492385864,True
1,1,cross_variable_variable,right_to_left,273,138,0.5046619772911072,0.11931103467941284,0.38535094261169434,True
1,1,cross_variable_variable,left_to_right,138,39,0.6366470456123352,0.14616072177886963,0.4904863238334656,True
1,1,cross_variable_variable,right_to_left,138,249,0.6366470456123352,0.23947933316230774,0.39716771245002747,True
1,1,cross_variable_variable,left_to_right,172,39,0.6295623779296875,0.20253005623817444,0.42703232169151306,True
1,1,cross_variable_variable,right_to_left,172,272,0.6295623779296875,0.12016601860523224,0.5093963742256165,True
1,1,cross_variable_variable,left_to_right,249,138,0.5055258274078369,0.23947933316230774,0.2660464942455292,True
1,1,cross_variable_variable,right_to_left,249,138,0.5055258274078369,0.14344371855258942,0.3620821237564087,True
1,1,cross_variable_variable,left_to_right,272,172,0.5125521421432495,0.12016601860523224,0.39238613843917847,True
1,1,cross_variable_variable,right_to_left,272,249,0.5125521421432495,0.15039858222007751,0.362153559923172,True
1,1,cross_variable_variable,left_to_right,94,138,0.4923708140850067,0.06775566190481186,0.42461514472961426,True
1,1,cross_variable_variable,right_to_left,94,273,0.4923708140850067,0.051320161670446396,0.44105064868927,True
1,1,cross_variable_same,left_to_right,133,138,0.45383143424987793,0.06984254717826843,0.3839888870716095,True
1,1,cross_variable_same,right_to_left,133,138,0.45383143424987793,0.12328176945447922,0.3305496573448181,True
1,1,cross_variable_same,left_to_right,39,172,0.5424994826316833,0.17045128345489502,0.37204819917678833,True
1,1,cross_variable_same,right_to_left,39,172,0.5424994826316833,0.2899622619152069,0.25253722071647644,True
1,1,cross_variable_same,left_to_right,273,138,0.5210157632827759,0.11876073479652405,0.40225502848625183,True
1,1,cross_variable_same,right_to_left,273,138,0.5210157632827759,0.10168422758579254,0.41933155059814453,True
1,1,cross_variable_same,left_to_right,138,39,0.6528191566467285,0.15796680748462677,0.49485236406326294,True
1,1,cross_variable_same,right_to_left,138,273,0.6528191566467285,0.11876073479652405,0.5340584516525269,True
1,1,cross_variable_same,left_to_right,172,39,0.6047938466072083,0.2899622619152069,0.31483158469200134,True
1,1,cross_variable_same,right_to_left,172,39,0.6047938466072083,0.17045128345489502,0.43434256315231323,True
1,1,cross_variable_same,left_to_right,249,272,0.4742547273635864,0.1669648140668869,0.30728989839553833,True
1,1,cross_variable_same,right_to_left,249,39,0.4742547273635864,0.12381576001644135,0.3504389524459839,True
1,1,cross_variable_same,left_to_right,272,133,0.39286842942237854,0.12162121385335922,0.2712472081184387,True
1,1,cross_variable_same,right_to_left,272,172,0.39286842942237854,0.17914903163909912,0.21371939778327942,True
1,1,cross_variable_same,left_to_right,94,133,0.5092707872390747,0.09264985471963882,0.4166209399700165,True
1,1,cross_variable_same,right_to_left,94,133,0.5092707872390747,0.06945974379777908,0.4398110508918762,True
1,1,cross_same_variable,left_to_right,133,172,0.5064469575881958,0.05778232961893082,0.4486646354198456,True
1,1,cross_same_variable,right_to_left,133,272,0.5064469575881958,0.14057323336601257,0.3658737242221832,True
1,1,cross_same_variable,left_to_right,39,273,0.5624279975891113,0.10699134320020676,0.455436646938324,True
1,1,cross_same_variable,right_to_left,39,138,0.5624279975891113,0.21712923049926758,0.34529876708984375,True
1,1,cross_same_variable,left_to_right,273,138,0.4951150417327881,0.23100461065769196,0.2641104459762573,True
1,1,cross_same_variable,right_to_left,273,138,0.4951150417327881,0.11397123336791992,0.38114380836486816,True
1,1,cross_same_variable,left_to_right,138,39,0.5846859216690063,0.21712923049926758,0.36755669116973877,True
1,1,cross_same_variable,right_to_left,138,273,0.5846859216690063,0.23100461065769196,0.3536813259124756,True
1,1,cross_same_variable,left_to_right,172,272,0.6932021975517273,0.12451370060443878,0.5686885118484497,True
1,1,cross_same_variable,right_to_left,172,272,0.6932021975517273,0.14057235419750214,0.552629828453064,True
1,1,cross_same_variable,left_to_right,249,138,0.4269319176673889,0.1838250309228897,0.2431068867444992,True
1,1,cross_same_variable,right_to_left,249,272,0.4269319176673889,0.042369768023490906,0.3845621347427368,True
1,1,cross_same_variable,left_to_right,272,133,0.5158685445785522,0.14057323336601257,0.3752953112125397,True
1,1,cross_same_variable,right_to_left,272,249,0.5158685445785522,0.13134883344173431,0.38451969623565674,True
1,1,cross_same_variable,left_to_right,94,133,0.6259037852287292,0.01069914735853672,0.6152046322822571,True
1,1,cross_same_variable,right_to_left,94,273,0.6259037852287292,0.06316182762384415,0.5627419352531433,True
1,1,cross_same_same,left_to_right,133,272,0.4114168584346771,0.07237343490123749,0.33904343843460083,True
1,1,cross_same_same,right_to_left,133,272,0.4114168584346771,0.2097986489534378,0.20161820948123932,True
1,1,cross_same_same,left_to_right,39,138,0.5906176567077637,0.11554867029190063,0.47506898641586304,True
1,1,cross_same_same,right_to_left,39,138,0.5906176567077637,0.26556676626205444,0.32505089044570923,True
1,1,cross_same_same,left_to_right,273,138,0.5163509249687195,0.10337971895933151,0.4129711985588074,True
1,1,cross_same_same,right_to_left,273,138,0.5163509249687195,0.19068221747875214,0.32566869258880615,True
1,1,cross_same_same,left_to_right,138,39,0.682052493095398,0.26556676626205444,0.4164857268333435,True
1,1,cross_same_same,right_to_left,138,39,0.682052493095398,0.11554867029190063,0.5665038228034973,True
1,1,cross_same_same,left_to_right,172,272,0.6710899472236633,0.18923702836036682,0.4818529188632965,True
1,1,cross_same_same,right_to_left,172,272,0.6710899472236633,0.1632983535528183,0.5077915787696838,True
1,1,cross_same_same,left_to_right,249,272,0.4398357570171356,0.09795089811086655,0.3418848514556885,True
1,1,cross_same_same,right_to_left,249,272,0.4398357570171356,0.1441754847764969,0.29566025733947754,True
