condition,auc,eer,pairs,genuine_pairs,impostor_pairs
cross_same_same,0.8256172839506173,0.2222222222222222,1296,36,1260
cross_same_variable,0.7779761904761905,0.3055555555555556,1296,36,1260
cross_variable_same,0.7383818342151676,0.33333333333333337,1296,36,1260
cross_variable_variable,0.7890873015873016,0.29523809523809524,1296,36,1260
