condition,wgc_auc,ctmd_auc,ctmd_minus_wgc
cross_same_same,0.8256172839506173,0.8199514991181658,-0.005665784832451504
cross_same_variable,0.7779761904761905,0.7734347442680776,-0.00454144620811292
cross_variable_same,0.7383818342151676,0.7362654320987655,-0.002116402116402072
cross_variable_variable,0.7890873015873016,0.7863756613756614,-0.002711640211640165
