epoch,batch,condition,batch_size,confirmed_margins,possible_margins,confirmation_rate,zero_confirmed
2,11,cross_same_variable,8,16,16,1.0,False
2,11,cross_same_same,8,16,16,1.0,False
2,12,cross_variable_variable,8,16,16,1.0,False
2,12,cross_variable_same,8,16,16,1.0,False
2,12,cross_same_variable,8,16,16,1.0,False
2,12,cross_same_same,8,16,16,1.0,False
2,13,cross_variable_variable,8,16,16,1.0,False
2,13,cross_variable_same,8,16,16,1.0,False
2,13,cross_same_variable,8,16,16,1.0,False
2,13,cross_same_same,8,16,16,1.0,False
2,14,cross_variable_variable,8,16,16,1.0,False
2,14,cross_variable_same,8,16,16,1.0,False
2,14,cross_same_variable,8,16,16,1.0,False
2,14,cross_same_same,8,16,16,1.0,False
2,15,cross_variable_variable,8,16,16,1.0,False
2,15,cross_variable_same,8,16,16,1.0,False
2,15,cross_same_variable,8,16,16,1.0,False
2,15,cross_same_same,8,16,16,1.0,False
2,16,cross_variable_variable,8,16,16,1.0,False
2,16,cross_variable_same,8,16,16,1.0,False
2,16,cross_same_variable,8,16,16,1.0,False
2,16,cross_same_same,8,16,16,1.0,False
2,17,cross_variable_variable,8,16,16,1.0,False
2,17,cross_variable_same,8,16,16,1.0,False
2,17,cross_same_variable,8,16,16,1.0,False
2,17,cross_same_same,8,16,16,1.0,False
2,18,cross_variable_variable,9,18,18,1.0,False
2,18,cross_variable_same,9,18,18,1.0,False
2,18,cross_same_variable,9,18,18,1.0,False
2,18,cross_same_same,9,18,18,1.0,False
3,1,cross_variable_variable,8,16,16,1.0,False
3,1,cross_variable_same,8,16,16,1.0,False
3,1,cross_same_variable,8,16,16,1.0,False
3,1,cross_same_same,8,16,16,1.0,False
3,2,cross_variable_variable,8,16,16,1.0,False
3,2,cross_variable_same,8,16,16,1.0,False
3,2,cross_same_variable,8,16,16,1.0,False
3,2,cross_same_same,8,16,16,1.0,False
3,3,cross_variable_variable,8,16,16,1.0,False
3,3,cross_variable_same,8,16,16,1.0,False
3,3,cross_same_variable,8,16,16,1.0,False
3,3,cross_same_same,8,16,16,1.0,False
3,4,cross_variable_variable,8,16,16,1.0,False
3,4,cross_variable_same,8,16,16,1.0,False
3,4,cross_same_variable,8,16,16,1.0,False
3,4,cross_same_same,8,16,16,1.0,False
3,5,cross_variable_variable,8,16,16,1.0,False
3,5,cross_variable_same,8,16,16,1.0,False
3,5,cross_same_variable,8,16,16,1.0,False
3,5,cross_same_same,8,16,16,1.0,False
3,6,cross_variable_variable,8,16,16,1.0,False
3,6,cross_variable_same,8,16,16,1.0,False
3,6,cross_same_variable,8,16,16,1.0,False
3,6,cross_same_same,8,16,16,1.0,False
3,7,cross_variable_variable,8,16,16,1.0,False
3,7,cross_variable_same,8,16,16,1.0,False
3,7,cross_same_variable,8,16,16,1.0,False
3,7,cross_same_same,8,16,16,1.0,False
3,8,cross_variable_variable,8,16,16,1.0,False
3,8,cross_variable_same,8,15,16,0.9375,False
3,8,cross_same_variable,8,16,16,1.0,False
3,8,cross_same_same,8,16,16,1.0,False
3,9,cross_variable_variable,8,16,16,1.0,False
3,9,cross_variable_same,8,16,16,1.0,False
3,9,cross_same_variable,8,16,16,1.0,False
3,9,cross_same_same,8,16,16,1.0,False
3,10,cross_variable_variable,8,16,16,1.0,False
3,10,cross_variable_same,8,16,16,1.0,False
3,10,cross_same_variable,8,15,16,0.9375,False
3,10,cross_same_same,8,16,16,1.0,False
3,11,cross_variable_variable,8,16,16,1.0,False
3,11,cross_variable_same,8,16,16,1.0,False
3,11,cross_same_variable,8,16,16,1.0,False
3,11,cross_same_same,8,16,16,1.0,False
3,12,cross_variable_variable,8,16,16,1.0,False
3,12,cross_variable_same,8,16,16,1.0,False
3,12,cross_same_variable,8,16,16,1.0,False
3,12,cross_same_same,8,16,16,1.0,False
3,13,cross_variable_variable,8,16,16,1.0,False
3,13,cross_variable_same,8,16,16,1.0,False
3,13,cross_same_variable,8,16,16,1.0,False
3,13,cross_same_same,8,16,16,1.0,False
3,14,cross_variable_variable,8,16,16,1.0,False
3,14,cross_variable_same,8,16,16,1.0,False
3,14,cross_same_variable,8,16,16,1.0,False
3,14,cross_same_same,8,16,16,1.0,False
3,15,cross_variable_variable,8,16,16,1.0,False
3,15,cross_variable_same,8,16,16,1.0,False
3,15,cross_same_variable,8,16,16,1.0,False
3,15,cross_same_same,8,16,16,1.0,False
3,16,cross_variable_variable,8,16,16,1.0,False
3,16,cross_variable_same,8,16,16,1.0,False
3,16,cross_same_variable,8,16,16,1.0,False
3,16,cross_same_same,8,16,16,1.0,False
3,17,cross_variable_variable,8,16,16,1.0,False
3,17,cross_variable_same,8,16,16,1.0,False
3,17,cross_same_variable,8,16,16,1.0,False
3,17,cross_same_same,8,16,16,1.0,False
3,18,cross_variable_variable,9,18,18,1.0,False
3,18,cross_variable_same,9,18,18,1.0,False
3,18,cross_same_variable,9,18,18,1.0,False
3,18,cross_same_same,9,18,18,1.0,False
4,1,cross_variable_variable,8,16,16,1.0,False
4,1,cross_variable_same,8,16,16,1.0,False
4,1,cross_same_variable,8,16,16,1.0,False
4,1,cross_same_same,8,16,16,1.0,False
4,2,cross_variable_variable,8,16,16,1.0,False
4,2,cross_variable_same,8,16,16,1.0,False
4,2,cross_same_variable,8,16,16,1.0,False
4,2,cross_same_same,8,16,16,1.0,False
4,3,cross_variable_variable,8,16,16,1.0,False
4,3,cross_variable_same,8,16,16,1.0,False
4,3,cross_same_variable,8,16,16,1.0,False
4,3,cross_same_same,8,16,16,1.0,False
4,4,cross_variable_variable,8,16,16,1.0,False
4,4,cross_variable_same,8,16,16,1.0,False
4,4,cross_same_variable,8,16,16,1.0,False
4,4,cross_same_same,8,16,16,1.0,False
4,5,cross_variable_variable,8,16,16,1.0,False
4,5,cross_variable_same,8,16,16,1.0,False
4,5,cross_same_variable,8,16,16,1.0,False
4,5,cross_same_same,8,16,16,1.0,False
4,6,cross_variable_variable,8,16,16,1.0,False
4,6,cross_variable_same,8,16,16,1.0,False
4,6,cross_same_variable,8,16,16,1.0,False
4,6,cross_same_same,8,16,16,1.0,False
4,7,cross_variable_variable,8,16,16,1.0,False
4,7,cross_variable_same,8,16,16,1.0,False
4,7,cross_same_variable,8,16,16,1.0,False
4,7,cross_same_same,8,16,16,1.0,False
4,8,cross_variable_variable,8,16,16,1.0,False
4,8,cross_variable_same,8,16,16,1.0,False
4,8,cross_same_variable,8,16,16,1.0,False
4,8,cross_same_same,8,16,16,1.0,False
4,9,cross_variable_variable,8,16,16,1.0,False
4,9,cross_variable_same,8,16,16,1.0,False
4,9,cross_same_variable,8,16,16,1.0,False
4,9,cross_same_same,8,16,16,1.0,False
4,10,cross_variable_variable,8,16,16,1.0,False
4,10,cross_variable_same,8,16,16,1.0,False
4,10,cross_same_variable,8,16,16,1.0,False
4,10,cross_same_same,8,16,16,1.0,False
4,11,cross_variable_variable,8,16,16,1.0,False
4,11,cross_variable_same,8,16,16,1.0,False
4,11,cross_same_variable,8,16,16,1.0,False
4,11,cross_same_same,8,16,16,1.0,False
4,12,cross_variable_variable,8,16,16,1.0,False
4,12,cross_variable_same,8,16,16,1.0,False
4,12,cross_same_variable,8,16,16,1.0,False
4,12,cross_same_same,8,16,16,1.0,False
4,13,cross_variable_variable,8,16,16,1.0,False
4,13,cross_variable_same,8,16,16,1.0,False
4,13,cross_same_variable,8,16,16,1.0,False
4,13,cross_same_same,8,16,16,1.0,False
4,14,cross_variable_variable,8,16,16,1.0,False
4,14,cross_variable_same,8,16,16,1.0,False
4,14,cross_same_variable,8,16,16,1.0,False
4,14,cross_same_same,8,16,16,1.0,False
4,15,cross_variable_variable,8,16,16,1.0,False
4,15,cross_variable_same,8,16,16,1.0,False
4,15,cross_same_variable,8,16,16,1.0,False
