trial,fixed_points,raw_direction_resultant_length,raw_uncentered_top1_energy_fraction,raw_uncentered_top5_cumulative_energy,raw_uncentered_rank_for_90_percent_energy,raw_uncentered_participation_ratio,raw_centered_top1_energy_fraction,raw_centered_top5_cumulative_energy,raw_centered_rank_for_90_percent_energy,raw_centered_participation_ratio,projected_direction_resultant_length,projected_uncentered_top1_energy_fraction,projected_uncentered_top5_cumulative_energy,projected_uncentered_rank_for_90_percent_energy,projected_uncentered_participation_ratio,projected_centered_top1_energy_fraction,projected_centered_top5_cumulative_energy,projected_centered_rank_for_90_percent_energy,projected_centered_participation_ratio
1,0,0.4569518107571208,0.26415155532053053,0.5820080720071961,27,9.452965381633595,0.20407719745663094,0.5120635587054772,31,13.323439035915545,0.09196062755308575,0.3138807695653137,0.7827841544696817,11,5.721311663534626,0.3151565059007839,0.786036136136297,11,5.67378492137372
2,0,0.4503369915746852,0.2685293299948758,0.5896055859600726,27,9.162182650814557,0.21899396828024273,0.525991407687861,32,12.434925694797498,0.09669251990862443,0.3197319691590715,0.7848265573314864,11,5.672260985886363,0.321326932864186,0.7884672854884246,11,5.621596834761872
3,0,0.4628774747994672,0.2759858953189213,0.5859547273842561,27,9.055633331457033,0.20948720501175166,0.5171461106847741,32,13.04286142084333,0.09455789713264506,0.311540485642602,0.7770520402433775,11,5.857858307423087,0.31269242976573897,0.7806322812321019,11,5.80994683835099
4,0,0.4538019144219206,0.273949167701713,0.5892424016058323,27,9.01516603356519,0.2185961507056895,0.5227673998625378,32,12.466914713059342,0.08946963022353753,0.3173311042862278,0.7989497768480365,11,5.563965888717497,0.31828808761131444,0.8022363369173683,11,5.522198905706196
5,0,0.459776865324882,0.2728973209532117,0.5815032212476409,27,9.072300285113293,0.21219461677266319,0.5130559631067315,32,12.77735846358353,0.08956856255026678,0.3533610204789466,0.7925983563790537,11,5.264828757620193,0.35502944629168876,0.7963661470567374,11,5.218893429976074
6,0,0.45228971684026287,0.27622043749737224,0.5900948133040651,27,8.956567632915684,0.22471397514286304,0.5232664154295215,31,12.141041189693274,0.09702770367838218,0.3230406156897327,0.7986418971997824,10,5.407262421377168,0.32437527240361724,0.8020264035679011,10,5.363151408014801
7,0,0.4591604174145102,0.2654602204383397,0.5698885442179229,28,9.454533338800603,0.20672297341672974,0.495560891124104,32,13.63946131460534,0.08966767008438079,0.3332941203667398,0.7803056552312091,11,5.5247336971869565,0.33482438001654,0.7838659545249419,11,5.4768841180088765
8,0,0.463989248666689,0.2655381138965712,0.5766700336402266,28,9.353927324753801,0.20560512560155306,0.5003295058998901,33,13.543849129768795,0.09843257866325558,0.33637342211018645,0.7778609443154116,11,5.681794145026946,0.33785101789504984,0.7809447237385617,11,5.635355816020011
9,0,0.46126582484723183,0.26207743829325447,0.5835908214148275,27,9.497637522773962,0.2082972679734788,0.5158695360521875,32,13.12519468569451,0.08975322588412642,0.28634752108386397,0.7822693237068976,11,6.0307778287107965,0.2874589623925265,0.7854794033263025,11,5.983374821737596
10,0,0.45681936961768577,0.27366982156525105,0.5872391591181528,27,9.044883100106658,0.21604101555972932,0.5140958334425082,32,12.733964306575247,0.08927475928009414,0.30939524055113216,0.7792030791917891,11,5.845181451523712,0.3110030437930673,0.7824990080193471,11,5.792443360599368
11,0,0.44579340511992177,0.2638724968995737,0.5950636603920897,26,9.152352966889179,0.22729551470780282,0.5342758754356157,30,11.834205021375752,0.09201836634284608,0.316900021104364,0.7946043150436058,11,5.700645068238657,0.3185609252511825,0.7977954533031199,11,5.652928239093565
12,0,0.45578252874456304,0.2697241988536973,0.5800327593141914,27,9.210348225422957,0.2083864793074394,0.5132550434392147,32,13.150032273370487,0.09774388349857903,0.3029769837589297,0.7757782971842522,11,5.900212968754183,0.30459991911632145,0.7791283309725194,11,5.845342721600069
13,0,0.456854198762093,0.2688242956912746,0.5725783005417402,28,9.43807778088867,0.20362413189953305,0.5052890953478966,33,13.538197797993119,0.09636624353343458,0.2777714910194293,0.7707975483506717,12,6.23040034947025,0.27879293238181735,0.7744251291237423,12,6.176212077391971
14,0,0.4593671618373322,0.2695152556494703,0.5853167947492526,27,9.234564205495154,0.21429637983469885,0.5216369768877098,31,12.758784255945317,0.09123012775309651,0.3290340210994849,0.7932534726187989,10,5.434146164822046,0.3304388294032208,0.7968600339534129,10,5.389440470366599
15,0,0.45215920275828597,0.2721416633371292,0.5806467952669868,27,9.209520614925292,0.20890819159542656,0.5234482011438129,31,12.978238828243443,0.09336003128231816,0.3193794539892044,0.7897251324725979,11,5.507821537107679,0.3205995685736571,0.7928729336386272,11,5.4637083654121
16,0,0.45669527992799674,0.26896620684962774,0.5948848114884745,27,8.990629063114833,0.24372463343902753,0.5244541303788182,31,11.304508673410194,0.09148999404675184,0.34286142848546713,0.7966383542319525,10,5.263525009136953,0.3445728705814567,0.7997172060541302,10,5.219108861452226
17,0,0.45321672489641224,0.2668070251754643,0.5752197427926146,27,9.524573887197388,0.1899408079270955,0.4964117214059858,32,14.114472447795894,0.09418493891303012,0.33236926298218805,0.7835350147355342,11,5.484584214417035,0.3337341368803986,0.7870019560625934,11,5.438200781229542
18,0,0.4561971385736407,0.2670300702396464,0.5840529673099063,27,9.302923777245436,0.20712429632964663,0.5193428391226859,32,12.969791844917403,0.08857361991632734,0.3255150691513696,0.7904555596711639,11,5.5553267366897225,0.32707808091672425,0.7938833306523957,11,5.506513037970925
19,0,0.4573084764110982,0.26565812932630367,0.5780159435581232,27,9.491975380708508,0.19676952667834954,0.5086676160950336,32,13.746756416496291,0.1009016509832545,0.31886775894829106,0.7753996215778347,12,5.828705701768376,0.32030793080665243,0.7786732928411868,12,5.7816229533088395
20,0,0.46344939228119564,0.2750511764387977,0.5852710501293528,27,9.04210548141712,0.21723799626095577,0.5059260192155661,32,12.783195591285088,0.09514424414625028,0.3173538031863802,0.7849507487632345,11,5.717522781049245,0.31866526502535875,0.7888685134381472,11,5.66977097504672
21,0,0.45409754788182166,0.267664698833032,0.5838619586654473,27,9.255514397355503,0.21107926153796394,0.5154977255365921,32,12.929862294426131,0.08899363170928846,0.3180130997269344,0.7853381173189965,11,5.543116464704184,0.31934414175906994,0.7888462031128752,11,5.494523538016399
22,0,0.45915324174134786,0.2592216366297351,0.5685079988367329,28,9.793717879367424,0.18879511335870067,0.49158095204143004,33,14.53807303727397,0.0857515442244639,0.3286180356549623,0.779184721036359,11,5.7839793370705355,0.32987688639106366,0.7825554628519669,11,5.7391542234633866
23,0,0.45813624212872184,0.27335846976626565,0.591735492161483,27,9.008801045357023,0.22306077769983074,0.5257439331289191,32,12.234768839774368,0.09098142113847435,0.289662595388959,0.7808890933947872,11,6.047521160457398,0.2912279120414824,0.7847398295980249,11,5.991884491563204
24,0,0.45097700283581077,0.2716457527925295,0.5873004190841138,27,9.014821296548924,0.2225098209587468,0.5265787589963098,31,12.261926666058757,0.08961774236119038,0.32825997241312577,0.7910229544858364,11,5.432913979573371,0.3298774552306183,0.7944454781030172,11,5.385936659161272
25,0,0.45198587975991694,0.27331833717241943,0.5797374534900993,27,9.09620394865672,0.21352068739078264,0.5156361104390347,32,12.80375648643454,0.10279291196419577,0.34906625187054274,0.798080916093156,11,5.2621632826171725,0.35054078186448984,0.8013018692267418,11,5.2190311338858475
26,0,0.45930693351227325,0.27503429128585466,0.585333457434431,27,8.972764748329698,0.2200997887871453,0.5228334240963489,32,12.48313911709672,0.08463680880677149,0.31514887294905153,0.7929920518221916,11,5.5474675423242505,0.3167274476190505,0.7963798506553653,11,5.4988051747042155
27,0,0.4565067830755948,0.2657017852111972,0.5929500528501165,27,9.081224495414174,0.22501790900924537,0.5316031931305397,31,12.08706686492703,0.09216556951919423,0.32619982196016656,0.7915037607924789,11,5.463169762126642,0.3277086809427879,0.794989958024506,11,5.416589218763409
28,0,0.45225131141918856,0.2717288759587538,0.5902245825332275,26,9.082303130209239,0.21902985378264409,0.5303640130883214,31,12.327452571617547,0.09213664427186904,0.3111830291751064,0.7811485146438542,11,5.787868211362509,0.31293964491120135,0.7849801490139854,11,5.733685192554714
29,0,0.45095001623484576,0.2647067501607181,0.5888958634289737,26,9.289229856949513,0.21117151759726016,0.528999520679359,31,12.62539452311879,0.09475287788828586,0.3162715805275143,0.7914148801648978,11,5.686832111241583,0.31755751083655576,0.7947826703059735,11,5.639290265708115
30,0,0.4533937776503231,0.2664260550158028,0.5838356079895121,27,9.375982000115219,0.2072512430698531,0.5167315959881936,31,13.06963995422777,0.08948377473564025,0.3122710631127182,0.7789493254064269,11,5.72177404060499,0.3134241143391137,0.7824379554482767,11,5.674923911743202
31,0,0.4662408195498371,0.2647670221210121,0.5754718192169319,27,9.334289226218997,0.21169273108444495,0.49927136353668405,33,13.204375460645045,0.09370260549244028,0.2914162088194792,0.7724786721536111,12,6.192395096922759,0.2928042242854281,0.7764814230188195,12,6.135345014164267
32,0,0.454977380083972,0.27046013667469887,0.5812054810628416,27,9.183859250122827,0.2112173452176794,0.5129163002121497,32,12.979949280953372,0.08635874257141854,0.3317945322065841,0.7892321375972763,11,5.596154832494673,0.3335022417262214,0.7925468187683585,11,5.5462561416614085
33,0,0.4530637380750453,0.26776932265524417,0.5876588657367217,27,9.263357426989534,0.21167109641503457,0.5232067131255254,32,12.824508790045847,0.09038183559046989,0.3195999158695708,0.785591323822293,11,5.621949293866703,0.3209801696254649,0.7887939452223152,11,5.575094489486777
34,0,0.45965618101564915,0.2560531866618668,0.5669380696958125,27,9.880532076135273,0.18544660259804882,0.49513041988984485,32,14.583997685364364,0.09446145955012364,0.3331937563243284,0.7805915903373029,11,5.580541196297739,0.33470646426407613,0.7841255281471021,11,5.532896527962834
35,0,0.4563642639061409,0.2668305632206279,0.5819307781278872,27,9.08734753000287,0.23322972823958577,0.5141009098756948,32,12.030769210157061,0.09937650945628523,0.34670144645543743,0.7907320596101952,11,5.41174738166148,0.3485880502285885,0.7941071953748017,11,5.36229128300207
36,0,0.45632977126785107,0.261041250313518,0.5880835866708468,27,9.445046698541951,0.20493544373751327,0.5249773151126146,32,13.114437368292213,0.08859804677278645,0.31801564445055086,0.7866692639436773,11,5.7264465917739,0.3192783910332623,0.7904452151958138,11,5.677668685714152
37,0,0.45947724769629794,0.26488045793965576,0.576636820121505,27,9.52373225048434,0.19142649950287657,0.506756323558333,32,14.120308737403068,0.09748995829901151,0.30985064154979564,0.7834988584753194,11,5.760162191725745,0.3111205168807435,0.7874743489881327,11,5.708836893686944
38,0,0.45598347715188825,0.26680058549478375,0.5775584246843715,27,9.391966685633264,0.1956315867316117,0.5151333526553614,32,13.624841402029194,0.0889016254049813,0.3257176279910562,0.795553737562732,11,5.477621509121631,0.3270040584466317,0.7992047825449026,11,5.4305111737296485
39,0,0.4537297247145564,0.27166008292214133,0.575125768646592,27,9.252671873616109,0.2015773698585683,0.5104323914935779,32,13.444817303534489,0.09603736192353605,0.3189421818684823,0.7760589557181957,11,5.820947146298782,0.3204289260091411,0.7798953131252393,11,5.770244625811229
40,0,0.4544254510926273,0.26743871392593227,0.5823169883438329,27,9.14632814083679,0.2187882029094684,0.5094725721573158,31,12.5547312635896,0.09801579302600226,0.330223126773568,0.7986551231844534,11,5.3949697167855835,0.33179506830643873,0.8021957804411477,11,5.3490734613746
41,0,0.4566088331276522,0.26551131236182296,0.587979831680068,27,9.29571475029261,0.20577589199939142,0.5259633682215759,31,12.92760752623025,0.08868685840349541,0.33391251577499487,0.7863184279655828,11,5.502072731791177,0.3353213999923666,0.7899364400716793,11,5.454926959591037
