profile,representation,vector_type,centered,matrix_rank,mean_vector_norm,mean_component_energy_fraction,top_direction_mean_alignment,top1_energy_fraction,top5_cumulative_energy,top10_cumulative_energy,top20_cumulative_energy,rank_for_50_percent_energy,rank_for_75_percent_energy,rank_for_90_percent_energy,rank_for_95_percent_energy,entropy_effective_rank,participation_ratio
raw_displacement_uncentered,raw_dinov2s,displacement,False,145,0.19641902169453282,0.2793282542870593,0.9899246443002843,0.3231586167304145,0.5777208655779296,0.7227779057313632,0.844116429240711,4,12,31,50,21.022328876657625,7.789140805798266
raw_displacement_centered,raw_dinov2s,displacement,True,144,0.19641902169453282,0.2793282542870593,0.36198003543269,0.13706190824312034,0.45087203976152956,0.6285571637652327,0.7880550728559442,7,17,39,59,34.01541574758687,17.990806158358026
raw_direction_uncentered,raw_dinov2s,unit_direction,False,145,0.530942432329831,0.28189986505911013,0.995795996094786,0.30435492098430905,0.5515734208123206,0.7061504835653862,0.83261756820881,4,13,33,52,22.932235829857134,8.61439253078164
raw_direction_centered,raw_dinov2s,unit_direction,True,144,0.530942432329831,0.28189986505911013,0.15768490839372967,0.12281229454292131,0.4155281406199219,0.60518290476871,0.7723057584794308,7,19,41,61,37.101766266776465,20.513474968070458
projected_displacement_uncentered,notebook27_projection,displacement,False,144,0.08417856363370659,0.023092165717724888,0.16093008360187466,0.1666456318271528,0.6147534290884714,0.7721641246068005,0.8796756473114334,4,9,24,40,20.563839030419405,11.240972876122402
projected_displacement_centered,notebook27_projection,displacement,True,144,0.08417856363370659,0.023092165717724888,0.11493013846680344,0.17014636569605227,0.6215773338127308,0.769995745072444,0.8782189463156055,4,9,25,40,20.391139416339133,11.03931794217367
projected_direction_uncentered,notebook27_projection,unit_direction,False,144,0.14936408884468438,0.022309631263620976,0.1533490860941723,0.14224795323224357,0.5638089581379593,0.7355926148995646,0.8593744998443721,5,11,28,43,23.71915362810232,13.240760881289727
projected_direction_centered,notebook27_projection,unit_direction,True,144,0.14936408884468438,0.022309631263620976,0.10863819604021559,0.14511281996993267,0.571484793337216,0.7348855798021551,0.8578553738935938,5,11,28,43,23.539178659718036,13.001731310074973
