representation,metric,concentration_extreme_direction,observed,null_mean,null_std,null_q025,null_median,null_q975,observed_minus_null_mean,standardized_difference,empirical_extreme_count,empirical_tail_fraction
raw_dinov2s,direction_resultant_length,higher,0.5309424311599318,0.4564095110393973,0.0035947758459996854,0.44923847386461246,0.4564416563453533,0.46372448023513474,0.07453292012053447,20.73367667791462,0,0.00398406374501992
raw_dinov2s,uncentered_top1_energy_fraction,higher,0.32315861673041446,0.2661864418930124,0.00525456040590511,0.2561003331215646,0.2663376944451178,0.27603735276617986,0.05697217483740208,10.842424567691022,0,0.00398406374501992
raw_dinov2s,uncentered_top5_cumulative_energy,higher,0.5777208655779295,0.5822861276948046,0.007045035368363751,0.5680476432785658,0.5827110358020386,0.5948739237755921,-0.004565262116875135,-0.648011241700188,183,0.7330677290836654
raw_dinov2s,centered_top1_energy_fraction,higher,0.13706190824312042,0.21020917348551202,0.012743221119140141,0.18301159939491457,0.2101072040944989,0.23327974357931175,-0.0731472652423916,-5.740092285813469,250,1.0
raw_dinov2s,centered_top5_cumulative_energy,higher,0.45087203976152895,0.5145750665763087,0.010044434100034746,0.4943925304230159,0.5153088152916377,0.5320224934004695,-0.06370302681477974,-6.342122032993315,250,1.0
raw_dinov2s,centered_rank_for_90_percent_energy,lower,39.0,31.78,0.5839211037646155,31.0,32.0,33.0,7.219999999999999,12.364684121624853,250,1.0
raw_dinov2s,centered_participation_ratio,lower,17.99080615835806,13.013141098370022,0.7127256441305772,11.83461942435581,12.987357947174104,14.578812666347513,4.977665059988036,6.983984792717921,250,1.0
notebook27_projection,direction_resultant_length,higher,0.14936409025289435,0.0921575816453747,0.0043963278912504435,0.08473141837170808,0.09151016033205796,0.10205809699212762,0.05720650860751965,13.012338938906682,0,0.00398406374501992
notebook27_projection,uncentered_top1_energy_fraction,higher,0.1666456318271527,0.3202028049427108,0.017789893010957864,0.28617247631054,0.3196659425143211,0.35674802307664105,-0.1535571731155581,-8.631708634839626,250,1.0
notebook27_projection,uncentered_top5_cumulative_energy,higher,0.6147534290884715,0.7868715299689463,0.007909706903569822,0.7712536901480971,0.7867269983380967,0.8005892336407456,-0.17211810088047474,-21.760363940008208,250,1.0
notebook27_projection,centered_top1_energy_fraction,higher,0.17014636569605215,0.32167809834894584,0.01790886763563234,0.2874717302965893,0.32117391430741493,0.3584368196078484,-0.15153173265289369,-8.461268223983012,250,1.0
notebook27_projection,centered_top5_cumulative_energy,higher,0.6215773338127311,0.7903598140061866,0.007852794477528005,0.7748482675536947,0.7901740402924593,0.8040341206640668,-0.16878248019345554,-21.493301610840945,250,1.0
notebook27_projection,centered_rank_for_90_percent_energy,lower,25.0,11.008,0.34701249355423924,10.0,11.0,12.0,13.992,40.32131482266936,250,1.0
notebook27_projection,centered_participation_ratio,lower,11.039317942173666,5.585234176065211,0.23773380281396064,5.127820946281792,5.58371864673842,6.054152448920895,5.454083766108455,22.94197838738383,250,1.0
