metric,observed,null_mean,null_std,null_q025,null_median,null_q975,standardized_difference,empirical_tail_fraction
raw_mean_alignment_to_fit_direction,0.524339564329646,0.43521483848136333,0.008271377647356522,0.4192320109530196,0.4352072632655841,0.45241678528641877,10.775076371560226,0.00398406374501992
raw_median_alignment_to_fit_direction,0.5219448158858353,0.45574003834503096,0.02349080827295203,0.4083790288696964,0.4542925631843603,0.5002616051669787,2.8183269290497064,0.00398406374501992
raw_positive_fraction_to_fit_direction,1.0,0.9802222222222222,0.020773862760444593,0.9444444444444444,0.9722222222222222,1.0,0.9520510463483253,0.450199203187251
raw_resultant_length,0.5418086647987366,0.4516060907840729,0.008311790066222992,0.4351553626358509,0.45132066309452057,0.46838934198021887,10.852364327778693,0.00398406374501992
projected_mean_alignment_to_fit_direction,0.020431343447498328,0.02425119905538192,0.009182386927625795,0.005655149745487721,0.024847921551398644,0.04193685565949294,-0.415998110076511,0.6653386454183267
projected_median_alignment_to_fit_direction,0.010531828714156567,0.025540520991593204,0.03087973681025313,-0.04012093224766991,0.02844108545842381,0.0803029347306851,-0.4860369234900097,0.7091633466135459
projected_positive_fraction_to_fit_direction,0.5,0.5453333333333332,0.050597108911623466,0.4444444444444444,0.5555555555555556,0.6388888888888888,-0.8959668706074821,0.8844621513944223
projected_resultant_length,0.13513202965259552,0.09554116576910018,0.009481762056088321,0.0783634202554822,0.09535308927297592,0.11355652492493391,4.175475365158916,0.00398406374501992
