writer,raw_variable_fixed_cosine,projected_variable_fixed_cosine,raw_variable_displacement_norm,raw_fixed_displacement_norm,projected_variable_displacement_norm,projected_fixed_displacement_norm
172,0.27927136,0.22987105,0.4540718,0.38348815,0.38133222,0.5131049
178,0.22954226,0.46668774,0.3145837,0.4220212,0.5501325,0.91188836
179,0.14381808,0.30728632,0.37068933,0.3217455,0.47921768,0.52958786
180,0.35428295,0.64616084,0.6376913,0.47081202,0.68764424,0.6179351
181,0.33504802,0.30696774,0.33363694,0.3599294,0.6854088,0.60545886
183,0.1696938,0.5006945,0.73598087,0.32035464,0.8599885,0.6176569
185,0.53597647,0.67907333,0.40547103,0.42821404,0.70761806,0.89063543
188,0.67917264,0.7056954,0.35748458,0.41478536,0.48625687,0.7730682
189,0.30969048,0.46008074,0.62155455,0.39373294,0.91601473,0.6238804
191,0.20181528,0.10521616,0.32860142,0.26619068,0.70679814,0.49673223
192,0.43496883,0.3371209,0.3623832,0.54672873,0.54947895,0.65574384
196,0.49075434,0.60764277,0.45790192,0.56276697,0.59026885,0.7946285
197,0.57756597,0.3923238,0.39821973,0.3581482,0.46333802,0.41185725
198,0.46318233,0.52032965,0.49502704,0.44107074,0.71676236,0.55034286
199,0.35758114,0.027398383,0.54568464,0.37464482,0.71318346,0.63793576
201,0.48815265,0.19036831,0.5434459,0.38364342,0.5415225,0.4946843
203,-0.29007795,0.25312468,0.45593852,0.45917,0.6146831,0.561462
206,0.32799548,0.16747233,0.5254817,0.46080443,0.49574086,0.45307854
207,0.29706565,0.67151475,0.566722,0.40116394,0.8082087,0.6307832
208,0.5010566,0.18519793,0.41710737,0.30941433,0.51061654,0.37018332
209,0.48889098,0.6617333,0.52627885,0.44032088,0.6794686,0.576534
211,0.26187217,-0.01799612,0.3881609,0.39189613,0.636993,0.6148162
212,0.12770267,0.043583468,0.5692221,0.4155699,0.6575331,0.67467827
213,0.45059517,0.47894445,0.47020555,0.38141873,0.66164285,0.6798005
214,0.2827528,0.11111699,0.5411436,0.3614467,0.58185947,0.77408373
220,0.6038117,0.56745243,0.42160726,0.35670266,0.7574167,0.76108766
221,0.4998725,0.46000725,0.31736484,0.3772613,0.48675692,0.82102406
223,0.10593719,0.049893927,0.5216131,0.32237586,0.4262305,0.4651592
225,0.3763383,0.107874185,0.50305307,0.4018848,0.8396997,0.6911429
226,0.48615307,0.07691182,0.3723271,0.6236682,0.54801977,0.5758957
227,0.4637498,0.5032545,0.5063224,0.30232334,0.7382259,0.55743384
228,0.25227836,0.5574943,0.4600954,0.40538096,0.913594,0.6355121
229,0.37499675,0.43737587,0.41992304,0.39717826,0.6514583,0.5681801
231,0.3686623,0.26695156,0.52301234,0.37948337,0.48492745,0.67438996
232,0.22310665,0.4276054,0.61720824,0.28723755,0.9541791,0.4765276
234,0.18281597,0.32466227,0.51096916,0.3290875,0.96182096,0.6016639
235,0.45016688,0.69851476,0.40737283,0.35441077,0.80447775,0.89291626
240,0.4749328,0.53688955,0.54757035,0.4906377,0.54981613,0.599964
241,0.24001186,0.40108064,0.5517779,0.50655824,0.87629676,0.5152038
242,0.05065096,0.014967685,0.3803913,0.5172968,0.6052068,0.68847346
243,0.25125012,-0.06468262,0.3856777,0.32339495,0.4945036,0.5275522
244,0.3461725,0.38456038,0.8530067,0.42512128,0.65049,0.3924752
245,-0.079243705,0.19120915,0.5112007,0.4679032,0.750333,0.51360196
246,0.07091008,-0.01089574,0.44554234,0.66824454,0.5097238,0.6194944
247,0.4288101,0.5997747,0.4425373,0.48312345,0.94665116,0.70946896
249,0.35611132,0.7318646,0.3758953,0.3793752,0.6509031,0.7065007
250,0.19280775,0.05187749,0.51051545,0.36178705,0.5191082,0.6041344
251,0.31204826,0.07928915,0.5823642,0.39390543,0.8936423,0.5771299
252,0.7390923,0.47960064,0.46289796,0.51103646,0.55993766,0.55771464
255,0.3350749,0.13676807,0.39696237,0.45528263,0.51954204,0.87656486
256,0.5427032,0.5347242,0.62829703,0.64218974,0.8776549,0.8145814
260,0.51112944,0.51327217,0.6242373,0.43585202,0.7046217,0.61636156
261,0.1793268,0.101449765,0.48606512,0.33600697,0.7756784,0.53827363
262,0.47318113,0.51523167,0.4471122,0.5176279,0.6253481,0.6516253
263,0.21445154,-0.121863574,0.45937783,0.4067236,0.67990166,0.71652496
264,0.45608336,0.49466097,0.3583276,0.35996085,0.64823186,0.4851018
265,0.47521046,0.3662796,0.5626285,0.4551057,0.50936556,0.43635467
267,0.5198559,0.60104114,0.5534973,0.528952,0.8175847,0.8487644
272,0.46193093,0.7251769,0.3678644,0.3555582,0.83439064,0.98051107
273,0.4093377,0.624709,0.35462192,0.331483,0.524511,0.5875296
274,0.35125384,0.31627843,0.4249933,0.4146983,0.81585324,0.79486763
276,-0.024771336,0.38487074,0.4695551,0.3242452,0.4988151,0.41992238
281,0.6079355,0.65734416,0.4838421,0.59884685,0.75711775,0.7003334
