rank,writer_variance_cumulative_fraction,script_direction_squared_overlap,random_direction_overlap_mean,random_direction_overlap_std,random_direction_overlap_q025,random_direction_overlap_median,random_direction_overlap_q975,standardized_difference,empirical_upper_tail_fraction,representation
1,0.2481080124119362,0.11802030666638531,0.0025977913995314126,0.003683194193773644,2.9830189421200385e-06,0.0011544739256842025,0.012988501863820584,31.337613276534004,0.0001999600079984003,raw_dinov2s
5,0.5624231778485657,0.3183263946822031,0.0127965730924254,0.008037200179911327,0.0020633329537420057,0.011166805298424252,0.032377711418547575,38.01445960664732,0.0001999600079984003,raw_dinov2s
10,0.7145168131574321,0.4775814726717278,0.025826565919376016,0.011300791307267912,0.008456558073838459,0.02411775274617,0.052238772467578874,39.975510959291256,0.0001999600079984003,raw_dinov2s
20,0.8550990267293203,0.6588090188291235,0.051772456959013606,0.015838105711140294,0.025421830484450354,0.05053120376577795,0.08698564302167358,38.32759882661531,0.0001999600079984003,raw_dinov2s
50,0.9602710392118542,0.9215936334712743,0.129646310875198,0.02401178427064093,0.08637696721060731,0.12837738788654118,0.18131706311051898,32.981610765360145,0.0001999600079984003,raw_dinov2s
1,0.34365998642345547,0.11826755615455084,0.007039132071844941,0.009648799715366918,6.347110290894433e-06,0.0033700400028900835,0.034198258329469225,11.527695398792531,0.0001999600079984003,notebook27_projection
5,0.818432236427151,0.2986275020301582,0.03473818593732101,0.0212372507981121,0.005959544798862088,0.030726194769104712,0.08637854089581842,12.425775756073653,0.0001999600079984003,notebook27_projection
10,0.9141792284851921,0.7787695876412764,0.06902906868022672,0.029672682542678467,0.02268727935423818,0.06570899003603146,0.1377367465776102,23.91898736961931,0.0001999600079984003,notebook27_projection
20,0.9669276997560056,0.8879797325260016,0.13843843622018048,0.04069979148235621,0.06987054170999016,0.13511750470146605,0.22772304050707567,18.416342418627753,0.0001999600079984003,notebook27_projection
50,0.993103902104343,0.9564431326881718,0.3470683068337758,0.05567713447247568,0.24070327535598415,0.3455292314504071,0.4605405689040859,10.94479505147026,0.0001999600079984003,notebook27_projection
