trial,fixed_points,raw_mean_alignment_to_fit_direction,raw_median_alignment_to_fit_direction,raw_positive_fraction_to_fit_direction,raw_resultant_length,projected_mean_alignment_to_fit_direction,projected_median_alignment_to_fit_direction,projected_positive_fraction_to_fit_direction,projected_resultant_length
1,0,0.4323545261603207,0.4422429334118215,1.0,0.44814807176589966,0.01408243345364419,-0.012696487215482527,0.5,0.09391924738883972
2,0,0.44335337006303466,0.4466151093433778,0.9722222222222222,0.459818035364151,0.015244920909840226,0.06387949407868296,0.5833333333333334,0.0855192318558693
3,0,0.43859772014467713,0.46859754432672757,0.9722222222222222,0.45535504817962646,0.03172003675510056,0.035279591913061945,0.6111111111111112,0.09991983324289322
4,0,0.44016980123274624,0.46976538715722893,0.9722222222222222,0.4561847448348999,0.03226288690845228,0.012875271739354426,0.5555555555555556,0.0994507372379303
5,0,0.43868480449235486,0.4463310117488657,0.9722222222222222,0.45334377884864807,0.04240736856516194,0.01923989032728077,0.5555555555555556,0.10032542794942856
6,0,0.4317063600717562,0.4711074214726413,1.0,0.44794026017189026,0.013670308286819829,-0.013473597425031283,0.5,0.09586546570062637
7,0,0.42778245787901487,0.4027585152810611,1.0,0.4428967237472534,0.005391025275837249,-0.045483281860039304,0.4722222222222222,0.10636073350906372
8,0,0.4267651497596143,0.4584358441189569,0.9722222222222222,0.4428580105304718,0.02237419644067775,0.01234546228560475,0.5277777777777778,0.08367416262626648
9,0,0.437597141155166,0.503781317533312,1.0,0.45254120230674744,0.024974921439183024,0.059423641035082145,0.6111111111111112,0.09455365687608719
10,0,0.43251715957529857,0.4467488411723387,1.0,0.44974228739738464,0.026317774658625632,0.02702559715481684,0.5277777777777778,0.0844627320766449
11,0,0.426875055500916,0.45076584952610954,0.9722222222222222,0.44561243057250977,0.018066089861813697,-0.06575375671181875,0.4722222222222222,0.08755285292863846
12,0,0.4307306132724962,0.48926987741199546,0.9722222222222222,0.4466172754764557,0.024720921663614268,0.04842302184637352,0.5277777777777778,0.09030324220657349
13,0,0.43399835019769367,0.45778539119421097,0.9722222222222222,0.44991829991340637,0.02366045750625832,0.019998641140914625,0.5555555555555556,0.08910424262285233
14,0,0.44295385914340707,0.4578401967791319,0.9722222222222222,0.46003496646881104,0.036921487972494345,0.050319826409379875,0.6111111111111112,0.092876136302948
15,0,0.4373856728393783,0.4462128514607623,0.9722222222222222,0.45381075143814087,0.028146477151562495,0.07117245956037743,0.5555555555555556,0.08599725365638733
16,0,0.44313006538506317,0.43841586518292897,0.9722222222222222,0.460921049118042,0.03295897754449973,0.05232563512171118,0.6944444444444444,0.10398591309785843
17,0,0.4383348545197988,0.4751127155532533,1.0,0.4565839171409607,0.02730867583722625,0.07393137391362346,0.5833333333333334,0.11568813025951385
18,0,0.4240792335108225,0.44888924203302766,0.9722222222222222,0.4405723214149475,0.017038326423677436,0.0326081198361845,0.5277777777777778,0.07666651159524918
19,0,0.4153531041919095,0.4130964463821121,1.0,0.4322267174720764,0.025506078237384034,0.033120331325675316,0.6111111111111112,0.0932120531797409
20,0,0.4422032671378515,0.4218944026759807,1.0,0.4573383629322052,0.016535727082530975,0.02941029742929594,0.5277777777777778,0.09255868941545486
21,0,0.4300279434948031,0.4672132166990325,1.0,0.44550618529319763,0.016436461070586536,0.009913855088009859,0.5277777777777778,0.09991691261529922
22,0,0.43280880134330135,0.45144783371733577,1.0,0.4506673514842987,0.02200807803761365,0.076320249986676,0.5277777777777778,0.086695097386837
23,0,0.43179248494472644,0.4493761582468556,1.0,0.4458003044128418,0.033256299961023236,0.03720040268419359,0.5277777777777778,0.09948814660310745
24,0,0.4313499883559818,0.4486230415885527,1.0,0.44893887639045715,0.023894992776681268,0.03893968610688371,0.5277777777777778,0.10195955634117126
