experiment_split,condition_id,script_family,text_relation,roc_auc_imagenet,roc_auc_layer4_finetuned,eer_percent_imagenet,eer_percent_layer4_finetuned,score_gap_imagenet,score_gap_layer4_finetuned,auc_change,eer_change_points,score_gap_change
official_test,arabic_variable_same,within_script,variable_same,0.6951531696600356,0.8062123591684789,36.269430051813465,25.38050518134715,0.018798887729644775,0.033330440521240234,0.11105918950844329,-10.888924870466315,0.014531552791595459
official_test,cross_same_same,cross_script,same_same,0.685514977471431,0.7343401137166993,37.82383419689119,31.606217616580313,0.019282817840576172,0.027574658393859863,0.0488251362452683,-6.217616580310878,0.008291840553283691
official_test,cross_same_variable,cross_script,same_variable,0.5878196114884515,0.6527636787788487,42.48704663212435,38.86010362694301,0.009711742401123047,0.018126606941223145,0.06494406729039714,-3.6269430051813387,0.008414864540100098
official_test,cross_variable_same,cross_script,variable_same,0.5649207165516748,0.6304361778168541,46.605138169257344,39.37823834196891,0.006757557392120361,0.014057576656341553,0.06551546126517938,-7.226899827288435,0.007300019264221191
official_test,cross_variable_variable,cross_script,variable_variable,0.6288108545419563,0.67255993169839,39.89637305699482,35.75129533678757,0.011678814888000488,0.019015014171600342,0.043749077156433724,-4.145077720207247,0.0073361992835998535
official_test,english_variable_same,within_script,variable_same,0.7015033121694542,0.7865048949859951,34.89043609671848,27.461139896373055,0.020334303379058838,0.030436992645263672,0.08500158281654091,-7.429296200345426,0.010102689266204834
validation,arabic_variable_same,within_script,variable_same,0.6638914656771799,0.7544758812615956,37.857142857142854,30.35714285714286,0.01581329107284546,0.028173863887786865,0.09058441558441566,-7.499999999999993,0.012360572814941406
validation,cross_same_same,cross_script,same_same,0.6551484230055659,0.6995013914656772,38.246753246753244,33.7012987012987,0.015018105506896973,0.02249985933303833,0.044352968460111386,-4.545454545454547,0.007481753826141357
validation,cross_same_variable,cross_script,same_variable,0.56944573283859,0.6272031539888683,43.603896103896105,40.48701298701299,0.009899914264678955,0.01677727699279785,0.057757421150278265,-3.116883116883116,0.0068773627281188965
validation,cross_variable_same,cross_script,variable_same,0.5671150278293136,0.6119318181818182,48.21428571428571,44.64285714285714,0.008073151111602783,0.012740790843963623,0.04481679035250463,-3.5714285714285694,0.00466763973236084
validation,cross_variable_variable,cross_script,variable_variable,0.6526988636363636,0.6801136363636363,37.72727272727273,39.28571428571429,0.013368427753448486,0.019181907176971436,0.027414772727272663,1.5584415584415652,0.005813479423522949
validation,english_variable_same,within_script,variable_same,0.6219619666048238,0.7155960111317253,43.506493506493506,33.92857142857143,0.015591740608215332,0.024128377437591553,0.0936340445269015,-9.577922077922075,0.00853663682937622
