experiment_split,script_family,macro_roc_auc_imagenet,macro_roc_auc_layer4_finetuned,macro_eer_percent_imagenet,macro_eer_percent_layer4_finetuned,macro_score_gap_imagenet,macro_score_gap_layer4_finetuned,auc_change,eer_change_points
official_test,cross_script,0.6167665400133784,0.6725249755026981,41.70309801381693,36.39896373056995,0.011857733130455017,0.019693464040756226,0.05575843548931969,-5.304134283246974
official_test,within_script,0.6983282409147449,0.7963586270772369,35.57993307426597,26.4208225388601,0.019566595554351807,0.03188371658325195,0.09803038616249204,-9.159110535405873
validation,cross_script,0.6111020118274583,0.6546875,41.94805194805195,39.52922077922078,0.0115898996591568,0.01779995858669281,0.04358548817254171,-2.4188311688311686
validation,within_script,0.6429267161410019,0.7350359461966605,40.68181818181818,32.142857142857146,0.015702515840530396,0.02615112066268921,0.09210923005565852,-8.538961038961034
