representation,dimension,fit_auc,fit_accuracy,selection_auc,selection_accuracy,selection_balanced_accuracy,iterations,converged
cached_normalized_dinov2s_384d,384,1.0,1.0,0.9972993827160495,0.9861111111111112,0.9861111111111112,17,True
writer_projection_144d,144,0.9016171224732461,0.8258620689655173,0.7924382716049383,0.7013888888888888,0.7013888888888888,110,True
