nuisance,raw_selection_auc,projected_selection_auc,auc_change_after_projection,raw_selection_accuracy,projected_selection_accuracy,accuracy_change_after_projection
script,1.0,0.757908950617284,-0.24209104938271597,0.9861111111111112,0.6944444444444444,-0.29166666666666674
text_condition,0.9972993827160495,0.7924382716049383,-0.20486111111111116,0.9861111111111112,0.7013888888888888,-0.2847222222222223
