model,overall_auc_gain,cross_script_auc_gain
vit_b_16_swag_e2e,0.032220321840857546,0.00787120245825601
efficientnet_v2_l,0.09352678571428574,0.07914540816326521
dinov2_vitl14_reg,0.2475766916615132,0.20529264262523195
vit_h_14_swag_e2e,0.11480944650587521,0.03801020408163269
dinov2_vitg14_reg,0.2827800485724592,0.2379449791280147
