target_far,threshold_dynamic,validation_far_dynamic,validation_tar_dynamic,official_test_far_dynamic,official_test_tar_dynamic,sampling_strategy_dynamic,sampling_strategy_hybrid,threshold_hybrid,validation_far_hybrid,validation_tar_hybrid,official_test_far_hybrid,official_test_tar_hybrid,validation_tar_change,official_test_tar_change,official_test_far_change
0.1,0.7986401915550232,0.0997294372294372,0.3779761904761904,0.0848580526770293,0.3756476683937824,imagenet_initialized_dynamic,ssl_initialized_dynamic,0.7443832159042358,0.09994588744588745,0.37202380952380953,0.11085924006908462,0.42055267702936094,-0.005952380952380876,0.04490500863557856,0.026001187392055328
0.05,0.8363098502159119,0.0498917748917748,0.2559523809523809,0.042516731433506,0.2564766839378238,imagenet_initialized_dynamic,ssl_initialized_dynamic,0.7894670963287354,0.049783549783549784,0.25892857142857145,0.058879353770869315,0.32728842832469773,0.0029761904761905766,0.07081174438687393,0.016362622337363318
0.01,0.8930926322937012,0.0097943722943722,0.1041666666666666,0.0074436888313183,0.0889464594127806,imagenet_initialized_dynamic,ssl_initialized_dynamic,0.8618322014808655,0.009632034632034632,0.11904761904761904,0.011203763672999424,0.12694300518134716,0.014880952380952439,0.03799654576856655,0.0037600748416811236
0.001,0.9425740242004396,0.0007575757575757,0.0089285714285714,0.0002608664363845,0.0077720207253886,imagenet_initialized_dynamic,ssl_initialized_dynamic,0.9159892201423645,0.0005952380952380953,0.02976190476190476,0.0007960924006908463,0.03454231433506045,0.02083333333333336,0.02677029360967185,0.0005352259643063462
