target_far,threshold,validation_far,validation_tar,official_test_far,official_test_tar,sampling_strategy
0.1,0.7986401915550232,0.0997294372294372,0.3779761904761904,0.0848580526770293,0.3756476683937824,imagenet_initialized_dynamic
0.05,0.8363098502159119,0.0498917748917748,0.2559523809523809,0.042516731433506,0.2564766839378238,imagenet_initialized_dynamic
0.01,0.8930926322937012,0.0097943722943722,0.1041666666666666,0.0074436888313183,0.0889464594127806,imagenet_initialized_dynamic
0.001,0.9425740242004396,0.0007575757575757,0.0089285714285714,0.0002608664363845,0.0077720207253886,imagenet_initialized_dynamic
0.1,0.7443832159042358,0.09994588744588745,0.37202380952380953,0.11085924006908462,0.42055267702936094,ssl_initialized_dynamic
0.05,0.7894670963287354,0.049783549783549784,0.25892857142857145,0.058879353770869315,0.32728842832469773,ssl_initialized_dynamic
0.01,0.8618322014808655,0.009632034632034632,0.11904761904761904,0.011203763672999424,0.12694300518134716,ssl_initialized_dynamic
0.001,0.9159892201423645,0.0005952380952380953,0.02976190476190476,0.0007960924006908463,0.03454231433506045,ssl_initialized_dynamic
