experiment_split,condition_id,roc_auc,eer,eer_percent,eer_threshold
validation,all_conditions,0.7441469059214594,0.329978354978355,32.997835497835496,0.6185125697742809
validation,arabic_variable_same,0.8747622912801485,0.20064935064935066,20.064935064935067,0.7124310341748324
validation,english_variable_same,0.8300382653061225,0.2392857142857143,23.92857142857143,0.7516837120056152
validation,cross_variable_variable,0.7300788497217068,0.3396103896103896,33.96103896103896,0.576654081994837
validation,cross_variable_same,0.7057803803339517,0.34805194805194806,34.80519480519481,0.5574355927380649
validation,cross_same_variable,0.7348678107606679,0.32987012987012987,32.98701298701299,0.5830709175630049
validation,cross_same_same,0.7401843692022263,0.3077922077922078,30.77922077922078,0.5982345581054688
official_test,all_conditions,0.7669374303672583,0.3088118883131836,30.88118883131836,0.6269772077600161
official_test,arabic_variable_same,0.8965914633055025,0.17619278929188256,17.619278929188255,0.7193694260592262
official_test,english_variable_same,0.8598590034855521,0.21418933506044904,21.418933506044905,0.7658826628079017
official_test,cross_variable_variable,0.7356880246225849,0.3212435233160622,32.12435233160622,0.5952185392379761
official_test,cross_variable_same,0.7154140603327159,0.35227763385146804,35.2277633851468,0.5497250563154618
official_test,cross_same_variable,0.7385593964491217,0.3180051813471503,31.800518134715027,0.6028596386313438
official_test,cross_same_same,0.769747384157964,0.29819732297063906,29.819732297063904,0.5984952946503957
