experiment_split,script_family,conditions,dynamic_auc,hybrid_auc,dynamic_eer,hybrid_eer,auc_change,eer_change_points
official_test,cross_script,4,0.729692547674658,0.7398522163905966,33.105974740932645,32.24309153713299,0.010159668715938652,-0.8628832037996546
official_test,within_script,2,0.8570854041383661,0.8782252333955274,21.559261658031083,19.51910621761658,0.02113982925716129,-2.0401554404145017
validation,cross_script,4,0.7057339981447124,0.7277278525046382,34.50487012987013,33.133116883116884,0.021993854359925846,-1.3717532467532436
validation,within_script,2,0.8313224721706864,0.8524002782931355,23.814935064935064,21.99675324675325,0.021077806122449028,-1.818181818181813
