experiment_split,condition_id,roc_auc_dynamic,eer_percent_dynamic,roc_auc_hybrid,eer_percent_hybrid,auc_change,eer_change_points
validation,all_conditions,0.7419349747474748,32.73268398268398,0.7441469059214594,32.997835497835496,0.0022119311739845493,0.2651515151515156
validation,arabic_variable_same,0.8542903525046381,21.785714285714285,0.8747622912801485,20.064935064935067,0.020471938775510345,-1.7207792207792174
validation,english_variable_same,0.8083545918367347,25.844155844155843,0.8300382653061225,23.92857142857143,0.02168367346938771,-1.9155844155844122
validation,cross_variable_variable,0.7033395176252318,34.51298701298701,0.7300788497217068,33.96103896103896,0.026739332096474944,-0.5519480519480524
validation,cross_variable_same,0.678409090909091,37.5,0.7057803803339517,34.80519480519481,0.02737128942486078,-2.694805194805191
validation,cross_same_variable,0.7194573283858998,32.62987012987013,0.7348678107606679,32.98701298701299,0.015410482374768053,0.3571428571428612
validation,cross_same_same,0.7217300556586271,33.37662337662338,0.7401843692022263,30.77922077922078,0.018454313543599166,-2.597402597402599
official_test,all_conditions,0.7640844610357423,31.17443868739206,0.7669374303672583,30.88118883131836,0.002852969331515909,-0.2932498560736967
official_test,arabic_variable_same,0.8600833523495038,21.35686528497409,0.8965914633055025,17.619278929188255,0.03650811095599871,-3.7375863557858366
official_test,english_variable_same,0.8540874559272283,21.76165803108808,0.8598590034855521,21.418933506044905,0.005771547558323764,-0.34272452504317386
official_test,cross_variable_variable,0.7293496973073103,34.196891191709845,0.7356880246225849,32.12435233160622,0.006338327315274617,-2.072538860103627
official_test,cross_variable_same,0.6901073127242788,34.196891191709845,0.7154140603327159,35.2277633851468,0.025306747608437097,1.0308721934369558
official_test,cross_same_variable,0.7378337058265546,33.59240069084628,0.7385593964491217,31.800518134715027,0.00072569062256711,-1.791882556131256
official_test,cross_same_same,0.7614794748404881,30.437715889464595,0.769747384157964,29.819732297063904,0.008267909317475897,-0.6179835924006909
