split_index,fold,score_auc,script_auc,random_auc,script_auc_gain,random_auc_gain,score_aurc,script_aurc,random_aurc,script_aurc_improvement,random_aurc_improvement
0,A_to_B,0.9630068172643382,0.9627547471623161,0.9629764930415385,-0.0002520701020221061,-3.03242227996936e-05,0.06774181634053149,0.06782781326396164,0.067746204669634,-8.599692343015664e-05,-4.3883291025170745e-06
0,B_to_A,0.9693620275494501,0.9693521750553616,0.9693141725781631,-9.852494088469221e-06,-4.785497128700911e-05,0.06673354255271055,0.06673685560541495,0.06671429045539078,-3.313052704401187e-06,1.925209731977462e-05
1,A_to_B,0.9675441068761488,0.967547248391544,0.9675234626321232,3.1415153952663033e-06,-2.0644244025591618e-05,0.07969329782161641,0.07969526081304291,0.07969374955151264,-1.962991426504579e-06,-4.51729896225328e-07
1,B_to_A,0.962585838387346,0.9625314566133227,0.9626062939170246,-5.438177402328215e-05,2.0455529678553575e-05,0.0577288501148694,0.05774307207456332,0.057705436287415354,-1.4221959693923314e-05,2.341382745404269e-05
2,A_to_B,0.9629649653979239,0.9629518426445391,0.9629198231262808,-1.312275338472002e-05,-4.514227164309492e-05,0.049609925325186204,0.04961523649546523,0.049588312343115046,-5.311170279027888e-06,2.161298207115775e-05
2,B_to_A,0.9660422025191165,0.9660234694659948,0.9660456877383019,-1.8733053121722243e-05,3.485219185361821e-06,0.09159717874716519,0.09160007643688649,0.09159418835568604,-2.897689721295671e-06,2.990391479149035e-06
3,A_to_B,0.9649506953470871,0.9649184445334871,0.9649912531884327,-3.2250813600032124e-05,4.055784134560092e-05,0.059400812649887176,0.059413779283824825,0.05938308582943908,-1.2966633937648575e-05,1.772682044809404e-05
3,B_to_A,0.9677823790379413,0.9676530664751587,0.9674700601146811,-0.00012931256278259085,-0.00031231892326022415,0.0820781869973616,0.08212560788273128,0.08216106401222473,-4.7420885369686694e-05,-8.287701486313359e-05
4,A_to_B,0.9671763480841628,0.9671927425787977,0.9671969583059897,1.6394494634974777e-05,2.0610221826977693e-05,0.06867508815798953,0.06867051290424091,0.0686578412427476,4.575253748625996e-06,1.7246915241936334e-05
4,B_to_A,0.9650701425251309,0.9650981435331671,0.9650276743296091,2.8001008036238062e-05,-4.246819552178316e-05,0.06963801283057779,0.06962859784977886,0.06965458586557198,9.414980798927441e-06,-1.6573034994193936e-05
