training_seed,model,original_writer_auc,intervened_writer_auc,residual_script_auc,mean_script_reliance,reliance_error_auc,combined_auc_gain,combined_auc_better,aurc_better,intervention_auc_change
123,lambda0_control,0.7387890383426098,0.768275387806638,0.8911033163265305,0.06332696854855677,0.6172194767667678,0.020261601148235595,35,37,0.029486349464028172
123,batch_alt_lambda0p5,0.7764246418264277,0.7765837585034013,0.8254145408163265,0.009797601673933388,0.5929739601050439,0.022980119601306116,40,40,0.0001591166769736585
2026,lambda0_control,0.7382791563595135,0.762909870387549,0.9269770408163266,0.03647650955010961,0.4766655325888668,-0.003484639832045161,10,14,0.024630714028035516
2026,batch_alt_lambda0p5,0.7700305832560297,0.7706360479797979,0.7010522959183674,0.010207820265921593,0.6514476006907628,0.017592438669223772,39,39,0.000605464723768212
