training_seed,model,script_cross_reliance,random_cross_reliance_mean,random_cross_reliance_std,script_vs_random_reliance_ratio,script_cross_auc_change,random_cross_auc_change_mean,random_cross_auc_change_std
123,lambda0_control,0.04959455301709955,0.014375900122529733,0.0027405942903687276,3.449839842680569,0.013647234461966695,-0.002129721561920156,0.0034974634398384744
123,batch_alt_lambda0p5,0.008887318805299586,0.012594478720807498,0.0027538562634031637,0.7056519767361815,-0.0011751362476810634,-0.0016520393668831956,0.00221682404810972
2026,lambda0_control,0.03301142653858106,0.013759788400258396,0.004527510836620332,2.3991231244487112,0.010040656887755128,-0.002118597083719759,0.0027352291425932537
2026,batch_alt_lambda0p5,0.012144320890557935,0.013601458664975145,0.006812505407366776,0.8928690068978075,-0.0010401568297774277,-0.0011021205357141795,0.0016246728868691046
