split_index,fold,decision,pairs,error_rate,score_auc,script_auc,script_auc_gain,score_aurc,script_aurc,script_aurc_improvement
0,A_to_B,predicted_same,1075,0.932093023255814,0.6067659202143658,0.6004019358543187,-0.006363984360047148,0.9038556751478468,0.9058860367739268,-0.002030361626079946
0,A_to_B,predicted_different,2061,0.018922852983988356,0.618668999974638,0.6142052803773872,-0.0044637195972507815,0.012471779143300245,0.012658971998565409,-0.00018719285526516347
0,B_to_A,predicted_same,1031,0.9233753637245393,0.6004148494840974,0.596558876715243,-0.00385597276885441,0.8804179020810906,0.8790375971123006,0.001380304968790047
0,B_to_A,predicted_different,2105,0.015676959619952493,0.7330934830934831,0.7201795951795952,-0.012913887913887923,0.006307403682458877,0.0065033757968918585,-0.0001959721144329813
1,A_to_B,predicted_same,1087,0.9245630174793008,0.6020021842009464,0.5933017837641062,-0.008700400436840172,0.8929949057422781,0.893831070378063,-0.0008361646357848418
1,A_to_B,predicted_different,2049,0.014641288433382138,0.6979032524351989,0.6894502228826151,-0.008453029552583757,0.0064358364207746455,0.006526705864612242,-9.086944383759638e-05
1,B_to_A,predicted_same,1041,0.9337175792507204,0.6336255740442536,0.629301604341862,-0.004323969702391572,0.8910702017958061,0.8928881763196163,-0.0018179745238101619
1,B_to_A,predicted_different,2095,0.02052505966587112,0.6486694773108482,0.6461988304093568,-0.002470646901491458,0.012896523120898642,0.013002529716303345,-0.00010600659540470347
2,A_to_B,predicted_same,866,0.9249422632794457,0.6266589839623548,0.6055507538653605,-0.02110823009699425,0.8785674165109452,0.8796614152238396,-0.001093998712894395
2,A_to_B,predicted_different,2270,0.020704845814977973,0.6572199730094467,0.6573731109005465,0.00015313789109983045,0.012004141743252168,0.011994345535009918,9.796208242249249e-06
2,B_to_A,predicted_same,1291,0.9326103795507359,0.6073719784625959,0.5984744338794059,-0.008897544583190031,0.901457028119325,0.9030270351255041,-0.0015700070061790417
2,B_to_A,predicted_different,1845,0.013550135501355014,0.6977142857142857,0.6920879120879121,-0.0056263736263736375,0.005754208499083295,0.0058523718606466,-9.816336156330541e-05
3,A_to_B,predicted_same,1009,0.9276511397423192,0.6635566678374898,0.6579440346563634,-0.00561263318112637,0.8670222163204918,0.8677962691700847,-0.0007740528495928656
3,A_to_B,predicted_different,2127,0.018335684062059238,0.7060492189802534,0.6962741919638471,-0.009775027016406312,0.007203101290012339,0.00739298445002084,-0.0001898831600085013
3,B_to_A,predicted_same,1133,0.9320388349514563,0.5500787091696183,0.5484061393152302,-0.0016725698543881284,0.917727047357003,0.9170983831719557,0.0006286641850472563
3,B_to_A,predicted_different,2003,0.017473789316025962,0.6459639953542393,0.6448751451800232,-0.001088850174216116,0.011444574669667801,0.011352854615771818,9.172005389598316e-05
4,A_to_B,predicted_same,1004,0.9292828685258964,0.5655390003472065,0.5617650166810079,-0.0037739836661986326,0.9067291522081946,0.906614014000379,0.00011513820781561268
4,A_to_B,predicted_different,2132,0.019230769230769232,0.6668532969404299,0.6644970897341684,-0.002356207206261507,0.011739235998713946,0.011874396589522726,-0.00013516059080878086
4,B_to_A,predicted_same,1117,0.927484333034915,0.6367855951189284,0.6327517994184662,-0.0040337957004622504,0.8791070038974002,0.8810539668233294,-0.0019469629259292187
4,B_to_A,predicted_different,2019,0.015354135710747894,0.6729570974232492,0.6645193743103783,-0.008437723112870832,0.007009909682625061,0.007166032210972249,-0.00015612252834718877
5,A_to_B,predicted_same,1011,0.9307616221562809,0.5764460300592076,0.5723698193411265,-0.004076210718081064,0.9087468088737691,0.9070656974720868,0.001681111401682367
5,A_to_B,predicted_different,2125,0.01976470588235294,0.652344375100016,0.6444345380975243,-0.007909837002491704,0.010312986698944114,0.010554596849842255,-0.00024161015089814095
5,B_to_A,predicted_same,1125,0.9235555555555556,0.6161000067148645,0.6104259462363184,-0.005674060478546128,0.874613671887195,0.8759295848823964,-0.001315912995201396
5,B_to_A,predicted_different,2011,0.012928891098955743,0.6462894787831815,0.6184460375896145,-0.027843441193567076,0.008899436228944794,0.00913869135417614,-0.00023925512523134684
6,A_to_B,predicted_same,949,0.934668071654373,0.5789177001127396,0.5766447248790777,-0.002272975233661878,0.9051970863760999,0.9040769292046464,0.0011201571714534175
6,A_to_B,predicted_different,2187,0.022862368541380886,0.6400842302292934,0.6400467945718297,-3.743565746372468e-05,0.014890931842599976,0.014892243239485337,-1.3113968853617486e-06
6,B_to_A,predicted_same,1239,0.9281678773204197,0.6305911089399121,0.6299560332193453,-0.0006350757205667579,0.8872725071910654,0.8872474018352146,2.5105355850874034e-05
6,B_to_A,predicted_different,1897,0.012124406958355299,0.7176929144819266,0.716532875504617,-0.001160038977309652,0.004579735749482078,0.004599293254347825,-1.9557504865747206e-05
7,A_to_B,predicted_same,1005,0.9283582089552239,0.5916249851137311,0.5900768131475527,-0.0015481719661784021,0.8947826169210522,0.8939648710618779,0.0008177458591742681
7,A_to_B,predicted_different,2131,0.018770530267480056,0.7284911525585844,0.7258608321377331,-0.0026303204208513176,0.007105834994248415,0.007182085864338578,-7.625087009016304e-05
7,B_to_A,predicted_same,1142,0.9316987740805605,0.6304704067861963,0.6295667052245999,-0.0009037015615963595,0.8939551709168724,0.8945065065058311,-0.0005513355889587013
7,B_to_A,predicted_different,1994,0.017051153460381142,0.6156512605042017,0.6162665066026412,0.000615246098439437,0.012158204016408707,0.012081211661320992,7.699235508771413e-05
8,A_to_B,predicted_same,1231,0.925264012997563,0.5792457151582242,0.5775852196816429,-0.001660495476581314,0.8948494180708039,0.896071985168073,-0.0012225670972690894
8,A_to_B,predicted_different,1905,0.010498687664041995,0.7273209549071618,0.7271883289124669,-0.00013262599469487935,0.003912881840250231,0.003914613224944829,-1.7313846945978331e-06
8,B_to_A,predicted_same,974,0.9312114989733059,0.6305353058302753,0.6250226266682025,-0.005512679162072764,0.8892811891179625,0.8885211931929794,0.0007599959249831034
8,B_to_A,predicted_different,2162,0.020814061054579093,0.6171731485855245,0.6172781189314018,0.0001049703458773088,0.013930434809237974,0.01392696270683196,3.4721024060133804e-06
9,A_to_B,predicted_same,879,0.9215017064846417,0.5981928788692074,0.5986222937913759,0.00042941492216852506,0.8764538827528452,0.8754245549863704,0.0010293277664747968
