split_index,fold,score_auc,script_auc,random_auc,script_auc_gain,random_auc_gain,score_aurc,script_aurc,random_aurc,script_aurc_improvement,random_aurc_improvement
0,A_to_B,0.9645556067577761,0.964438911547782,0.9642541250266519,-0.00011669520999402216,-0.00030148173112420906,0.07674650762138094,0.07679402683486608,0.0768638956006006,-4.75192134851421e-05,-0.00011738797921966027
0,B_to_A,0.9688432012498024,0.9688417853105745,0.968712462861094,-1.4159392278667582e-06,-0.0001307383887083624,0.06581302838150588,0.06581306896498164,0.0658629783937438,-4.058347576052501e-08,-4.9950012237925945e-05
1,A_to_B,0.9676395183338047,0.9676045683329999,0.9673084130630226,-3.4950000804778725e-05,-0.00033110527078206164,0.0726565261987194,0.072674941025186,0.07278854107383043,-1.8414826466597867e-05,-0.00013201487511102505
1,B_to_A,0.964482317337997,0.964458162916925,0.9645320197044336,-2.4154421072064558e-05,4.9702366436532586e-05,0.07353100356085766,0.0735393744665172,0.07351218166340663,-8.370905659541017e-06,1.8821897451032354e-05
2,A_to_B,0.9631506465232879,0.9631594083982055,0.9630748820754718,8.761874917606605e-06,-7.57644478160957e-05,0.05334597427695714,0.05334321991820022,0.053378118351776464,2.7543587569206496e-06,-3.214407481932219e-05
2,B_to_A,0.9660579860161462,0.9659291300988223,0.9659487571590769,-0.00012885591732392232,-0.00010922885706932117,0.10191692128808105,0.10195680151495091,0.10195735092672652,-3.9880226869862256e-05,-4.042963864546445e-05
3,A_to_B,0.9657691714424708,0.9658016825069115,0.9656426867903036,3.2511064440687854e-05,-0.0001264846521671359,0.06523148927025454,0.06522144468474378,0.06525783959652698,1.0044585510765591e-05,-2.6350326272434055e-05
3,B_to_A,0.9678144588195481,0.9678162516611798,0.9677512611520351,1.79284163170923e-06,-6.319766751294864e-05,0.08266771215014114,0.08267140415442906,0.08270882482380705,-3.692004287916828e-06,-4.111267366591065e-05
4,A_to_B,0.9672640360758062,0.9672464654561618,0.967120621828978,-1.7570619644469154e-05,-0.0001434142468282884,0.06726135895213854,0.06725727612820992,0.0673553172095447,4.082823928622248e-06,-9.395825740615704e-05
4,B_to_A,0.9655274020971879,0.9654900315860091,0.9655022619351221,-3.7370511178802523e-05,-2.514016206578429e-05,0.07764910874193608,0.07765964658990458,0.07764270127682021,-1.0537847968505876e-05,6.407465115862432e-06
5,A_to_B,0.9662986516247646,0.9663003053771996,0.9663825204982615,1.6537524349935495e-06,8.386887349687289e-05,0.067420060349911,0.06741788825473272,0.06739434338676054,2.172095178290534e-06,2.5716963150471117e-05
