condition,pairs,projected_auc,projected_eer,local_auc,local_eer,fused_auc,fused_eer,fused_minus_projected_auc
variable_variable,4205,0.929114999150671,0.158128078817734,0.6748105996262953,0.38275862068965516,0.9239663665704093,0.16428571428571428,-0.005148632580261658
variable_same,4205,0.9093765924919314,0.17229064039408867,0.6259894683200272,0.421551724137931,0.9022422286393749,0.1745073891625616,-0.007134363852556502
same_variable,4205,0.9178919653473755,0.15775862068965518,0.6367666043825378,0.4124384236453202,0.9110922371326652,0.17204433497536947,-0.00679972821471031
same_same,4205,0.915551214540513,0.17401477832512316,0.6641685068795651,0.38497536945812805,0.9104314591472737,0.17783251231527095,-0.005119755393239278
