fold,train_writers,test_writers,train_pairs,test_pairs,projected_auc,projected_eer,local_auc,local_eer,fused_auc,fused_eer,fused_minus_projected_auc,fused_minus_projected_eer,projected_weight,local_weight
1,116,29,53824,3364,0.919223500934262,0.16779556650246308,0.6331946980635298,0.41440886699507395,0.9192128843213861,0.16794950738916256,-1.0616612875824494e-05,0.00015394088669948292,9.538182916526852,-0.055623830477419235
2,116,29,53824,3364,0.8883132325462885,0.1999692118226601,0.6300720868014268,0.405942118226601,0.888273420248004,0.2002770935960591,-3.981229828442512e-05,0.00030788177339902134,9.750493550555085,0.28860574756669505
3,116,29,53824,3364,0.93515903686088,0.14608990147783252,0.6757991655342279,0.3808497536945813,0.9349413962969254,0.145935960591133,-0.00021764056395456866,-0.00015394088669951067,9.537344175791072,1.0958446256932608
4,116,29,53824,3364,0.9096260828945134,0.1634852216748769,0.6383132325462885,0.38870073891625617,0.9098437234584678,0.16302339901477836,0.0002176405639543466,-0.000461822660098532,9.819659466636866,0.42981909727089557
5,116,29,53824,3364,0.9347290640394089,0.13639162561576357,0.6566866082045184,0.4060960591133005,0.9350236750467132,0.134698275862069,0.000294611007304324,-0.0016933497536945619,9.248481964166315,0.6674846921584869
