condition,folds,projected_auc_mean,projected_auc_std,local_auc_mean,local_auc_std,fused_auc_mean,fused_auc_std,auc_gain_mean,auc_gain_std,auc_gain_min,auc_gain_max,projected_eer_mean,local_eer_mean,fused_eer_mean,eer_change_mean,positive_auc_gain_folds
same_same,5,0.9151435366060813,0.022138189250481884,0.6660183455070494,0.02293323247517318,0.9153558688635979,0.022218750176504237,0.0002123322575165787,0.00037745007717489434,-0.00025479870901978785,0.0007643961270595856,0.18411330049261085,0.3690886699507389,0.1810344827586207,-0.0030788177339901466,4
same_variable,5,0.9165619160862919,0.031466242177395055,0.6369925259045355,0.03120748397777808,0.9164599966026838,0.031331297810664425,-0.00010191948360798176,0.00035095895212149277,-0.0006369967725496917,0.0003397316120263838,0.16009852216748768,0.4115763546798029,0.15985221674876848,-0.00024630541871920877,1
variable_same,5,0.9103618141668083,0.0240683348473781,0.6280066247664344,0.026858828731594286,0.910293867844403,0.024024428023308318,-6.794632240525456e-05,0.00016337170088056075,-0.00021233225751648988,0.00021233225751671192,0.15492610837438422,0.4299261083743843,0.15566502463054188,0.0007389162561576345,1
variable_variable,5,0.9294971972142008,0.01280165954637358,0.6767793443179888,0.023805815490907625,0.9297095294717174,0.012749182703631142,0.0002123322575165565,0.00032480589733262775,-0.00012739935450989393,0.0007219296755562876,0.1522167487684729,0.38706896551724135,0.1519704433497537,-0.00024630541871920595,3
