page_id,language,pages,selected_tokens_mean,selected_tokens_median,selected_fraction_mean,selected_fraction_median,selected_fraction_std
1,Arabic,145,144.8206896551724,144.0,0.10578574846981184,0.10518626734842951,0.018788687274372554
2,Arabic,145,234.26896551724138,230.0,0.1711241530440039,0.16800584368151936,0.03361574998351759
3,English,145,138.53793103448277,136.0,0.10119644341452357,0.09934258582907232,0.017850047855696667
4,English,145,281.1448275862069,277.0,0.20536510415354778,0.20233747260774287,0.03029893475594395
