experiment_split,training_objective,within_script_auc,cross_script_auc,within_minus_cross_auc_gap,within_script_eer,cross_script_eer
validation,classification,0.7350359461966605,0.6546875,0.08034844619666048,32.142857142857146,39.52922077922078
validation,metric_learning,0.8360911410018552,0.6998738984230055,0.1362172425788497,23.66883116883117,36.1525974025974
official_test,classification,0.7963586270772369,0.6725249755026981,0.12383365157453885,26.4208225388601,36.39896373056995
official_test,metric_learning,0.8610998785202288,0.7213851902903434,0.13971468822988542,21.24352331606218,34.184072754749565
