model,target_far,threshold,validation_far,validation_tar,official_test_far,official_test_tar
classification,0.1,0.94902194,0.0979978354978355,0.3244047619047619,0.08308146229130685,0.28756476683937826
classification,0.05,0.9560823,0.048214285714285716,0.2113095238095238,0.03927389176741508,0.17012089810017272
classification,0.01,0.9668861,0.009956709956709957,0.07738095238095238,0.007434693436960276,0.045768566493955096
classification,0.001,0.9761205,0.0008116883116883117,0.008928571428571428,0.000778101611974669,0.009499136442141624
metric_learning,0.1,0.7716699838638306,0.09534632034632035,0.35714285714285715,0.1011352187679908,0.40500863557858374
metric_learning,0.05,0.8081894516944885,0.04967532467532468,0.27380952380952384,0.05649557426597582,0.2970639032815199
metric_learning,0.01,0.8696247339248657,0.009577922077922078,0.11011904761904762,0.01176147812320092,0.12003454231433507
metric_learning,0.001,0.9155928492546082,0.00091991341991342,0.03571428571428571,0.001119926597582038,0.025043177892918825
