experiment_split,condition_id,roc_auc,eer,eer_percent,eer_threshold
validation,all_conditions,0.7386482812822097,0.32694805194805193,32.69480519480519,0.6519948580048301
validation,arabic_variable_same,0.8603606215213357,0.2142857142857143,21.42857142857143,0.7128531466955426
validation,english_variable_same,0.8118216604823747,0.2590909090909091,25.90909090909091,0.7307370185852051
validation,cross_variable_variable,0.6930948515769945,0.3571428571428571,35.71428571428571,0.6161060827534374
validation,cross_variable_same,0.6848040352504637,0.3925324675324675,39.25324675324675,0.6155282508243214
validation,cross_same_variable,0.6968576066790353,0.3571428571428571,35.71428571428571,0.6065268075984457
validation,cross_same_same,0.7247391001855287,0.3392857142857143,33.92857142857143,0.6411874453226725
official_test,all_conditions,0.7582569952163767,0.31519861830742657,31.519861830742656,0.6514225324488575
official_test,arabic_variable_same,0.8672125985485071,0.20207253886010368,20.207253886010367,0.719325833953917
official_test,english_variable_same,0.8549871584919505,0.2227979274611399,22.27979274611399,0.7570589573486991
official_test,cross_variable_variable,0.7149644537437246,0.34998380829015546,34.998380829015545,0.6111957496032119
official_test,cross_variable_same,0.689038352260016,0.36693113126079446,36.693113126079446,0.5973914582282305
official_test,cross_same_variable,0.7189828781757004,0.34210384283246975,34.210384283246974,0.6187660933161775
official_test,cross_same_same,0.7625550769819325,0.30834412780656306,30.834412780656308,0.6394640939931074
