experiment_split,condition_id,roc_auc_classification,eer_percent_classification,roc_auc_metric,eer_percent_metric,script_relation,text_relation,auc_improvement,eer_change_points
validation,arabic_variable_same,0.7544758812615956,30.35714285714286,0.8603606215213357,21.42857142857143,within_arabic,variable_same,0.10588474025974015,-8.92857142857143
validation,english_variable_same,0.7155960111317253,33.92857142857143,0.8118216604823747,25.90909090909091,within_english,variable_same,0.09622564935064937,-8.01948051948052
validation,cross_variable_variable,0.6801136363636363,39.28571428571429,0.6930948515769945,35.71428571428571,cross_script,variable_variable,0.012981215213358155,-3.5714285714285836
validation,cross_variable_same,0.6119318181818182,44.64285714285714,0.6848040352504637,39.25324675324675,cross_script,variable_same,0.07287221706864555,-5.3896103896103895
validation,cross_same_variable,0.6272031539888683,40.48701298701299,0.6968576066790353,35.71428571428571,cross_script,same_variable,0.06965445269016701,-4.7727272727272805
validation,cross_same_same,0.6995013914656772,33.7012987012987,0.7247391001855287,33.92857142857143,cross_script,same_same,0.025237708719851426,0.22727272727273373
official_test,arabic_variable_same,0.8062123591684789,25.38050518134715,0.8672125985485071,20.207253886010367,within_arabic,variable_same,0.06100023938002819,-5.173251295336783
official_test,english_variable_same,0.7865048949859951,27.46113989637305,0.8549871584919505,22.27979274611399,within_english,variable_same,0.06848226350595543,-5.181347150259061
official_test,cross_variable_variable,0.67255993169839,35.75129533678757,0.7149644537437246,34.998380829015545,cross_script,variable_variable,0.042404522045334625,-0.7529145077720258
official_test,cross_variable_same,0.6304361778168541,39.37823834196891,0.689038352260016,36.693113126079446,cross_script,variable_same,0.05860217444316185,-2.685125215889464
official_test,cross_same_variable,0.6527636787788487,38.86010362694301,0.7189828781757004,34.210384283246974,cross_script,same_variable,0.06621919939685172,-4.6497193436960345
official_test,cross_same_same,0.7343401137166993,31.606217616580317,0.7625550769819325,30.834412780656308,cross_script,same_same,0.028214963265233206,-0.7718048359240086
