epoch,train_loss,train_genuine_similarity,train_impostor_similarity,train_score_gap,mean_gradient_norm,max_gradient_norm,skipped_steps,validation_roc_auc,validation_eer_percent,validation_eer_threshold
0,,,,,,,0,0.6123793740981242,43.154761904761905,0.9397453546524048
1,0.23599276118046414,0.9266225236707029,0.898608042339308,0.028014481331394836,0.6864300150620309,1.160819172859192,0,0.6372780741084312,40.17857142857143,0.891161690155665
2,0.21070432847580023,0.8637046310226474,0.7842438549330805,0.07946077608956692,1.3942079230358726,2.430483818054199,0,0.657772237682952,38.39285714285714,0.7781175908289457
3,0.17856612986167975,0.8025097301048515,0.6444741823768194,0.15803554772803208,2.014438451382152,3.0165932178497314,0,0.7036348014584621,36.011904761904766,0.7319793146232079
4,0.15576357190060405,0.8129713825419941,0.5931235240624014,0.21984785847959265,2.1141666215762758,4.83428955078125,0,0.7042900304061018,35.23809523809524,0.7161991238594055
5,0.14173387109705832,0.8168010214524987,0.559621679835615,0.2571793416168837,2.3026606471914994,3.9237747192382812,0,0.713339952458256,34.523809523809526,0.6765143714453045
6,0.12870683000151034,0.8342191791903656,0.5483852901158079,0.28583388907455765,2.2265108907431888,3.361189126968384,0,0.7193578804627913,34.86471861471861,0.6645698124712164
7,0.11755829627534985,0.8322870843442141,0.5121269503657797,0.32016013397843435,2.473980941270527,4.054617404937744,0,0.7287388392857143,33.63095238095239,0.7055211597018771
8,0.11020877403495587,0.850598368233284,0.5176814052779063,0.33291696295537776,2.416006594373469,5.045037746429443,0,0.7386482812822097,32.69480519480519,0.6519948580048301
9,0.10164074045894421,0.8490118977770341,0.48402961966606367,0.36498227811097045,2.3479748023183724,4.168446063995361,0,0.7325900909606267,32.44047619047619,0.6927557630198343
10,0.09436443408506107,0.8604068711268164,0.48666501081490937,0.373741860311907,2.2930207419813726,3.449822187423706,0,0.7360898526077099,32.04004329004329,0.6574274409901012
