target_far,validation_tar_dynamic,validation_tar_static,official_test_tar_dynamic,official_test_tar_static,validation_tar_change,official_test_tar_change
0.001,0.008928571428571428,0.0357142857142857,0.007772020725388601,0.0250431778929188,-0.02678571428571427,-0.0172711571675302
0.01,0.10416666666666667,0.1101190476190476,0.08894645941278066,0.120034542314335,-0.005952380952380931,-0.031088082901554334
0.05,0.25595238095238093,0.2738095238095238,0.25647668393782386,0.2970639032815199,-0.01785714285714285,-0.040587219343696024
0.1,0.37797619047619047,0.3571428571428571,0.3756476683937824,0.4050086355785837,0.02083333333333337,-0.0293609671848013
