model,target_far,threshold,validation_far,validation_tar,official_test_far,official_test_tar,sampling_strategy
metric_learning,0.1,0.7716699838638306,0.0953463203463203,0.3571428571428571,0.1011352187679908,0.4050086355785837,static
metric_learning,0.05,0.8081894516944885,0.0496753246753246,0.2738095238095238,0.0564955742659758,0.2970639032815199,static
metric_learning,0.01,0.8696247339248657,0.009577922077922,0.1101190476190476,0.0117614781232009,0.120034542314335,static
metric_learning,0.001,0.9155928492546082,0.0009199134199134,0.0357142857142857,0.001119926597582,0.0250431778929188,static
metric_learning,0.1,0.7986401915550232,0.09972943722943722,0.37797619047619047,0.08485805267702937,0.3756476683937824,dynamic
metric_learning,0.05,0.8363098502159119,0.04989177489177489,0.25595238095238093,0.042516731433506046,0.25647668393782386,dynamic
metric_learning,0.01,0.8930926322937012,0.009794372294372295,0.10416666666666667,0.007443688831318365,0.08894645941278066,dynamic
metric_learning,0.001,0.9425740242004395,0.0007575757575757576,0.008928571428571428,0.0002608664363845711,0.007772020725388601,dynamic
