experiment_split,condition_id,roc_auc_static,eer_percent_static,roc_auc_dynamic,eer_percent_dynamic,auc_change,eer_change_points
validation,all_conditions,0.7386482812822097,32.69480519480519,0.7419349747474748,32.73268398268398,0.0032866934652651114,0.037878787878788955
validation,arabic_variable_same,0.8603606215213357,21.42857142857143,0.8542903525046381,21.785714285714285,-0.006070269016697605,0.3571428571428541
validation,english_variable_same,0.8118216604823747,25.90909090909091,0.8083545918367347,25.844155844155843,-0.003467068645639948,-0.06493506493506729
validation,cross_variable_variable,0.6930948515769945,35.71428571428571,0.7033395176252318,34.51298701298701,0.010244666048237372,-1.2012987012986969
validation,cross_variable_same,0.6848040352504637,39.25324675324675,0.678409090909091,37.5,-0.006394944341372777,-1.7532467532467493
validation,cross_same_variable,0.6968576066790353,35.71428571428571,0.7194573283858998,32.62987012987013,0.02259972170686453,-3.0844155844155807
validation,cross_same_same,0.7247391001855287,33.92857142857143,0.7217300556586271,33.37662337662338,-0.0030090445269015387,-0.5519480519480524
official_test,all_conditions,0.7582569952163767,31.519861830742656,0.7640844610357423,31.17443868739206,0.0058274658193656625,-0.34542314335059743
official_test,arabic_variable_same,0.8672125985485071,20.207253886010367,0.8600833523495038,21.356865284974095,-0.007129246199003236,1.149611398963728
official_test,english_variable_same,0.8549871584919505,22.27979274611399,0.8540874559272283,21.761658031088082,-0.0008997025647221601,-0.5181347150259086
official_test,cross_variable_variable,0.7149644537437246,34.998380829015545,0.7293496973073103,34.196891191709845,0.014385243563585615,-0.8014896373056999
official_test,cross_variable_same,0.689038352260016,36.693113126079446,0.6901073127242788,34.196891191709845,0.001068960464262858,-2.4962219343696006
official_test,cross_same_variable,0.7189828781757004,34.210384283246974,0.7378337058265546,33.59240069084628,0.01885082765085422,-0.6179835924006909
official_test,cross_same_same,0.7625550769819325,30.834412780656308,0.7614794748404881,30.437715889464595,-0.0010756021414444206,-0.3966968911917128
