epoch,negative_offset,train_loss,train_genuine_similarity,train_impostor_similarity,train_score_gap,mean_gradient_norm,max_gradient_norm,skipped_steps,validation_roc_auc,validation_eer_percent,validation_eer_threshold
0,0,,,,,,,0,0.6123793740981242,43.154761904761905,0.9397453546524048
1,222,0.23484827709936462,0.9355977926634055,0.9052943429060741,0.030303449757331347,0.645431110210586,1.2576090097427368,0,0.6306107954545455,40.5465367965368,0.8901419141075828
2,168,0.2176559864156014,0.8729206571536782,0.808164723151553,0.0647559340021252,1.3654058324663263,2.3357553482055664,0,0.6701666698876521,38.63636363636363,0.8214085427197543
3,20,0.18164292070190463,0.8302035149747291,0.6814973007524963,0.14870621422223285,1.8642120675036782,2.7950313091278076,0,0.6939393134147598,36.904761904761905,0.7390103085260642
4,143,0.15896325776007322,0.8237080665025036,0.6202300631366999,0.20347800336580368,2.2355920975668386,4.003368377685547,0,0.7208558802308802,34.92424242424242,0.6935094681653109
5,97,0.15929223082761848,0.8097949104498973,0.5854462914630375,0.22434861898685976,2.308660854373062,3.748015880584717,0,0.7242619112038754,34.82142857142857,0.6979246506324182
6,96,0.14693885646035185,0.8338101326891806,0.5906692782861996,0.24314085440298094,2.5900636012094065,4.18941068649292,0,0.7351783137497423,33.92857142857143,0.7137877817598649
7,156,0.13743910997842265,0.8419548836165824,0.5671081934948411,0.27484669012174134,2.579640919702095,5.369607448577881,0,0.7372838718820862,32.87337662337662,0.6959552493962374
8,22,0.12752656467192997,0.8442968864620259,0.5414174778996843,0.30287940856234163,2.66286063403414,5.084460735321045,0,0.7419349747474748,32.73268398268398,0.685682108185508
9,46,0.12983685613206003,0.8541407175032438,0.55076002573545,0.3033806917677938,2.792589240952542,5.6583251953125,0,0.740870600133993,32.738095238095234,0.6927103705895253
10,190,0.1198585783749555,0.8625296748581186,0.5233332874434712,0.3391963874146474,2.464252237688031,4.385282039642334,0,0.7353000669964955,33.47402597402597,0.7016478820280595
