experiment_split,sampling_strategy,within_script_auc,cross_script_auc,within_minus_cross_auc_gap,within_script_eer,cross_script_eer
validation,static,0.8360911410018552,0.6998738984230055,0.1362172425788497,23.66883116883117,36.1525974025974
validation,dynamic,0.8313224721706864,0.7057339981447124,0.12558847402597406,23.814935064935064,34.50487012987013
official_test,static,0.8610998785202288,0.7213851902903434,0.13971468822988542,21.24352331606218,34.184072754749565
official_test,dynamic,0.8570854041383661,0.729692547674658,0.12739285646370813,21.55926165803109,33.105974740932645
