experiment_split,condition_id,roc_auc,eer,eer_percent,eer_threshold
validation,all_conditions,0.7419349747474748,0.3273268398268398,32.73268398268398,0.685682108185508
validation,arabic_variable_same,0.8542903525046381,0.21785714285714286,21.785714285714285,0.7599119544029236
validation,english_variable_same,0.8083545918367347,0.2584415584415584,25.844155844155843,0.7547048373655839
validation,cross_variable_variable,0.7033395176252318,0.3451298701298701,34.51298701298701,0.6454227349974893
validation,cross_variable_same,0.678409090909091,0.375,37.5,0.653971352528051
validation,cross_same_variable,0.7194573283858998,0.3262987012987013,32.62987012987013,0.6552095033905723
validation,cross_same_same,0.7217300556586271,0.33376623376623377,33.37662337662338,0.6867279583757574
official_test,all_conditions,0.7640844610357423,0.3117443868739206,31.17443868739206,0.6667985753579573
official_test,arabic_variable_same,0.8600833523495038,0.21356865284974094,21.356865284974095,0.7388985026627779
official_test,english_variable_same,0.8540874559272283,0.21761658031088082,21.761658031088082,0.7648311297870377
official_test,cross_variable_variable,0.7293496973073103,0.34196891191709844,34.196891191709845,0.6236418602813003
official_test,cross_variable_same,0.6901073127242788,0.34196891191709844,34.196891191709845,0.619518909141095
official_test,cross_same_variable,0.7378337058265546,0.33592400690846286,33.59240069084628,0.6394717196623484
official_test,cross_same_same,0.7614794748404881,0.30437715889464595,30.437715889464595,0.6656203161304196
